2486578;cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;unclassified Rickettsiales;Rickettsiales endosymbiont of Stachyamoeba lipophora
2738852;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Candidatus Ruthturnera;Candidatus Ruthia endofausta
413404;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Candidatus Ruthturnera;Candidatus Ruthturnera calyptogenae;Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
2360;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Bathymodiolus thermophilus thioautotrophic gill symbiont
1303921;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Bathymodiolus septemdierum thioautotrophic gill symbiont;endosymbiont of Bathymodiolus septemdierum str. Myojin knoll
412965;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Candidatus Vesicomyosocius;Candidatus Vesicomyosocius okutanii
1971488;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Nardonella;endosymbiont of Pachyrhynchus infernalis
1248727;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;unclassified Gammaproteobacteria;endosymbiont of unidentified scaly snail isolate Monju
243899;cellular organisms;Bacteria;Terrabacteria group;Bacillota;unclassified Bacillota;endosymbiont 'TC1' of Trimyema compressum
1228987;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;unclassified Cyanobacteriota;cyanobacterium endosymbiont of Epithemia turgida;cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
1763363;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;unclassified Cyanobacteriota;cyanobacterium endosymbiont of Rhopalodia gibberula
1235284;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;unclassified Gammaproteobacteria;Isorropodon fossajaponicum symbiont;Isorropodon fossajaponicum endosymbiont JTNG4
1235283;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;unclassified Gammaproteobacteria;Abyssogena phaseoliformis symbiont;Abyssogena phaseoliformis symbiont OG214
2675779;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia marginata
2675773;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia cincticornis
2675790;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Macroplea appendiculata
2675784;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia simplex
2675780;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia piscatrix
2732590;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Candidatus Vesicomyosocius;unclassified Candidatus Vesicomyosocius;Candidatus Vesicomyosocius sp. SY067_SCS001
1972134;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;Candidatus Nardonella;endosymbiont of Sipalinus gigas
650377;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;unclassified Gammaproteobacteria;endosymbiont of Euscepes postfasciatus
2675778;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia fulgens
2675776;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia crassipes
2675793;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Plateumaris braccata
2675781;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia provostii
2675783;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia semicuprea
2675789;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia vulgaris
2675796;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Plateumaris rustica
2732587;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria incertae sedis;sulfur-oxidizing symbionts;Candidatus Vesicomyosocius
1906660;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae incertae sedis;ant, tsetse, mealybug, aphid, etc. endosymbionts;Candidatus Mikella
2675786;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified Enterobacteriaceae;Enterobacteriaceae endosymbiont of Donacia thalassina
