"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2587855",467,236,291,290,360,342,"v_2087",303,2.84446467174878e-05,26228.1548939767
"641491",574,211,286,280,447,435,"v_3933",203,2.84438376425747e-05,20681.2308478933
"861914",445,316,285,275,393,392,"v_4145",273,2.844221963082e-05,44605.1622880937
"246875",122,142,119,39,74,116,"v_4153",9,2.84414106939704e-05,2290.06248921746
"1396826",484,225,326,320,300,368,"v_2122",197,2.84397929583073e-05,23441.0352246513
"316276",472,279,332,297,421,374,"v_3431",250,2.84389841594858e-05,30402.1662998577
"85336",127,78,70,72,49,56,"v_169",4,2.84373666998436e-05,7220.33942541305
"59739",38,66,39,27,25,44,"v_4159",11,2.84373666998436e-05,2381.89127406429
"33962",7,3,6,2,6,7,"v_1091",64,2.8436558039015e-05,31789.0153935467
"1758178",384,259,314,220,236,258,"v_2114",37,2.8434940855323e-05,4039.99192285492
"1982678",170,230,165,102,139,122,"v_2815",16,2.84341323324519e-05,1086.40573261047
"81479",283,283,319,174,367,262,"v_2322",56,2.84292821606254e-05,7392.82996173675
"61635",7,9,7,4,8,6,"v_5536",75,2.84284739595179e-05,4142.64841854111
"155866",16,6,6,7,6,11,"v_1067",73,2.84268576951504e-05,13104.0359946615
"342113",476,274,296,269,444,384,"v_2401",157,2.84260496318827e-05,14825.6553497666
"1503055",464,295,242,262,475,375,"v_2371",285,2.84252416145537e-05,25500.2703819348
"259536",13,4,32,8,6,12,"v_3121",23,2.84236257176966e-05,7445.87101657913
"1348114",13,6,9,10,11,6,"v_3628",46,2.84236257176966e-05,7647.33090374982
"455076",136,154,151,197,150,150,"v_4144",6,2.84236257176966e-05,13.1689490806583
"1940138",12,6,10,5,5,7,"v_4227",43,2.84147415679254e-05,15411.9721342727
"2202141",439,266,340,207,340,316,"v_2679",73,2.84123195817707e-05,3258.11664544345
"658632",9,6,5,3,4,6,"v_2949",43,2.84123195817707e-05,8643.74958890438
"2486578",15,11,6,2,8,6,"v_2248",31,2.84107051537019e-05,15876.8839758968
"2822760",261,238,291,140,258,243,"v_2317",54,2.84090909090909e-05,15481.6013003672
"2636778",295,85,215,151,110,119,"v_855",25,2.84050560999858e-05,2158.67029450931
"198628",12,8,11,6,3,5,"v_5037",42,2.8402635764599e-05,2343.73729620346
"712357",7,4,4,3,7,7,"v_5614",176,2.8402635764599e-05,121182.039949266
"2068654",7,4,8,3,9,5,"v_5418",120,2.84010224368077e-05,34219.0223598165
"2621730",459,287,251,288,299,246,"v_231",75,2.83994092922867e-05,3665.5342448121
"28885",30,15,5,4,10,10,"v_3830",25,2.83986027887428e-05,1986.79167516614
"1678078",8,3,6,4,4,10,"v_6132",118,2.83986027887428e-05,30839.1993905721
"244787",11,11,11,10,3,14,"v_4025",17,2.83961835529305e-05,285.977895027713
"2493093",213,325,182,136,337,240,"v_1539",28,2.83865107301011e-05,2801.404645732
"686597",451,331,291,251,297,294,"v_1771",56,2.83857049589827e-05,3435.75950816823
"29370",34,15,19,20,25,16,"v_1236",2,2.83840935539724e-05,0
"273384",488,223,249,253,284,218,"v_302",95,2.83824823319047e-05,9141.54821895139
"401053",515,266,263,232,551,396,"v_4295",192,2.83824823319047e-05,19891.4931488113
"2724123",123,213,116,97,104,112,"v_2796",20,2.83816767894647e-05,3956.30341705991
"2714946",6,7,7,3,8,7,"v_5399",110,2.83816767894647e-05,9997.40507426258
"758796",213,297,126,111,204,188,"v_2390",23,2.83760392724384e-05,5972.62539259843
"123841",10,3,5,4,3,9,"v_5246",121,2.83736238792419e-05,21626.9625755741
"105",273,225,237,163,200,244,"v_4143",14,2.83695991375642e-05,996.209330044078
"1703",530,276,262,266,342,272,"v_301",131,2.83671848405764e-05,7580.35713319606
"1224153",7,6,5,5,6,6,"v_5035",126,2.83671848405764e-05,51901.8680412103
"375175",9,3,8,6,8,5,"v_1094",59,2.8366380166227e-05,9790.96913088624
"2708301",431,302,332,203,306,372,"v_3730",146,2.83631619252914e-05,7563.20247701761
"1273132",6,1,8,8,10,5,"v_1636",66,2.83599444145089e-05,6461.31816318889
"206506",352,274,347,181,279,262,"v_2582",61,2.83599444145089e-05,8275.72130806815
"5820",614,224,344,229,381,375,"v_4424",149,2.83599444145089e-05,16348.3744890208
"1330330",10,1,9,2,6,8,"v_5593",115,2.83519038303422e-05,9601.35570376997
"2781952",14,16,7,7,13,13,"v_3177",33,2.83502962605959e-05,5084.95311126464
"1009682",448,290,287,253,418,383,"v_2686",105,2.83470816679423e-05,21884.8709449166
"2004646",8,2,3,4,9,6,"v_4867",175,2.83446712018141e-05,48694.4241243969
"290398",475,324,312,244,331,354,"v_3494",224,2.83430644521286e-05,15298.33593315
"386911",484,315,270,302,326,274,"v_455",143,2.83414578845936e-05,15536.8983949434
"2448483",11,10,6,8,3,4,"v_3261",16,2.83302170094623e-05,12492.9862745211
"1266925",423,198,255,155,199,324,"v_2618",61,2.83229954399977e-05,3772.65952484206
"299767",25,28,18,15,18,16,"v_3136",9,2.83229954399977e-05,2549.23648436462
"1548",11,2,5,3,12,2,"v_5417",110,2.83141740755422e-05,13001.5497849753
"1479019",231,138,126,265,272,634,"v_1711",181,2.83117692024575e-05,5998.5553212944
"2636677",23,8,24,4,1,1,"v_897",15,2.83085633404105e-05,766.414686117961
"70346",10,3,6,10,7,3,"v_4882",100,2.82877429209923e-05,7405.54123281268
"2069256",20,23,34,7,15,9,"v_2963",18,2.82805429864253e-05,1155.3106001759
"1604",9,2,5,6,6,5,"v_5315",131,2.82797432199316e-05,56559.4959421015
"317658",8,1,1,5,8,10,"v_5255",120,2.82781438226395e-05,2435.36871915407
"1249",5,1,6,5,10,7,"v_5329",116,2.82709487730408e-05,4844.04898538278
"2259622",157,216,138,85,92,115,"v_2817",18,2.82653551541875e-05,1540.32889987136
"946432",12,3,4,6,9,2,"v_5307",97,2.82621597942515e-05,18326.5414236281
"588",10,2,6,5,4,5,"v_5045",147,2.8258965156696e-05,59101.0361428511
"1549850",520,283,315,276,355,381,"v_2132",145,2.82565696524442e-05,20196.2104048984
"1004785",9,5,7,2,3,9,"v_3554",55,2.82565696524442e-05,10246.4727431594
"79883",51,30,96,56,36,31,"v_829",7,2.82533762784653e-05,563.872767509452
"1758189",11,5,6,4,9,2,"v_3092",79,2.82525780477469e-05,12038.0887827649
"2643510",4,7,7,3,7,7,"v_1133",59,2.82517798621313e-05,3364.43996130093
"1587",13,11,3,1,11,4,"v_5312",75,2.82453960004519e-05,1041.00120958151
"2506420",16,5,5,14,6,6,"v_1069",50,2.82430027960573e-05,6947.03930269448
"1173280",10,5,27,1,6,7,"v_4853",26,2.82422051513782e-05,515.399527997696
"2565368",80,113,108,24,27,35,"v_3063",9,2.82398124876451e-05,1257.55482535707
"2025808",9,0,7,4,5,8,"v_5147",117,2.82398124876451e-05,5651.65222599353
"51665",15,2,5,2,6,4,"v_5405",134,2.82366228999012e-05,42170.7548104878
"2735433",458,272,374,271,432,390,"v_2431",289,2.8235825615541e-05,22973.7695158853
"70255",10,3,5,7,6,1,"v_1025",63,2.82342311818849e-05,33904.7955702908
"1542",14,5,8,3,5,3,"v_1205",59,2.82342311818849e-05,22472.3184250311
"729",35,22,0,11,0,19,"v_3876",12,2.82334340325814e-05,420.276898774517
"85693",203,166,123,117,132,124,"v_431",12,2.82326369282891e-05,11854.1801481601
"87541",8,1,2,5,4,7,"v_1163",90,2.82310428547231e-05,60054.5097735683
"347534",465,294,329,259,381,374,"v_3681",303,2.82310428547231e-05,15289.663794519
"1874621",207,208,232,99,336,218,"v_4234",26,2.82238717507268e-05,4571.22689266634
"1219375",200,340,229,130,176,190,"v_2814",25,2.82175004938063e-05,7972.60023813022
"2714936",195,218,180,108,124,118,"v_2752",17,2.82023802808957e-05,13561.1847779382
"2650499",442,156,249,570,413,306,"v_1410",108,2.8201584929073e-05,25232.4603741672
"735",9,2,3,4,7,6,"v_5195",177,2.8201584929073e-05,94770.5336577592
"2528027",563,317,344,290,350,429,"v_4098",333,2.81976088427701e-05,27652.2346790549
"2712698",453,284,327,244,287,307,"v_1699",31,2.81968137600451e-05,4085.18387525596
"2203724",11,3,8,3,6,5,"v_5350",130,2.81968137600451e-05,22744.1362592595
"158847",16,2,6,3,5,3,"v_5447",119,2.81968137600451e-05,41529.4442943912
"2315",13,4,5,2,5,6,"v_4559",84,2.81936338774705e-05,11465.5958162718
"1891094",407,261,406,251,360,368,"v_2475",129,2.81864817633463e-05,20669.4060258005
"1811193",9,6,3,9,3,6,"v_5368",90,2.8185687307985e-05,28393.173846895
"68175",507,258,218,374,315,270,"v_106",62,2.8184892897407e-05,9047.18832428354
"1763363",7,2,4,7,7,5,"v_5467",129,2.81840985316085e-05,40357.0431107916
"29378",7,4,11,8,5,5,"v_1019",23,2.81769512538743e-05,4379.4290760062
"265668",21,12,6,4,11,8,"v_3771",35,2.81769512538743e-05,4599.08233688213
"106648",8,8,7,9,49,8,"v_3105",10,2.81761573356626e-05,42.6570621853966
"639313",428,218,220,283,268,224,"v_475",91,2.81737758494393e-05,10249.243662116
"499555",500,227,213,282,310,261,"v_595",95,2.81729821101564e-05,23696.8720293361
"34105",12,9,4,11,7,15,"v_4398",32,2.81721884155961e-05,4947.89756921013
"478",5,6,5,1,9,5,"v_3129",68,2.81713947657549e-05,14152.8329414458
"1348911",9,11,11,6,12,11,"v_5548",90,2.81698076002141e-05,10816.9416818322
"1235990",10,17,18,6,5,6,"v_3318",19,2.81674271872007e-05,2931.29965940943
"43306",454,281,325,254,436,342,"v_3026",263,2.8165047176454e-05,15240.6949194781
"394221",487,377,323,271,331,346,"v_2225",170,2.81610813855252e-05,14431.8522793491
"28446",11,7,8,7,5,7,"v_1246",37,2.81587024469912e-05,8502.97317111219
"1457195",5,14,5,2,7,10,"v_4819",59,2.81587024469912e-05,1812.05341816978
"2057246",504,238,230,311,299,248,"v_375",92,2.81563239103503e-05,7633.05118478886
"57706",8,9,1,1,4,10,"v_3173",40,2.81483983561335e-05,8369.73086117384
"1763883",12,10,9,11,12,9,"v_3777",46,2.814681378068e-05,4582.8544764489
"747548",8,2,4,8,4,4,"v_1441",58,2.81404772624944e-05,40260.7121871795
"1228987",10,3,1,14,10,2,"v_1473",32,2.81396853983172e-05,765.425395696779
"48665",379,223,201,267,256,226,"v_105",68,2.81388935787045e-05,19710.2832165341
"1288970",501,271,281,300,321,372,"v_2011",201,2.81388935787045e-05,9145.35415488962
"1906657",8,4,5,5,9,3,"v_4950",105,2.8137310073157e-05,19825.7728945836
"717774",19,20,11,14,10,21,"v_3513",11,2.81349351489745e-05,724.079868342346
"1622",11,3,5,2,5,7,"v_1081",85,2.81333520889014e-05,28791.63466304
"691",11,6,5,8,6,11,"v_3746",61,2.81333520889014e-05,5557.06587623851
"2211211",484,282,361,296,441,424,"v_2453",332,2.81301865031365e-05,24286.2731396844
"2626594",614,319,289,336,352,325,"v_226",148,2.81286039773846e-05,43608.9064146366
"1408204",21,6,9,9,7,7,"v_4408",47,2.81254394599916e-05,12013.9541834392
"2605945",406,270,326,205,314,300,"v_2680",54,2.81246484418945e-05,13669.9191556201
"1906744",7,3,7,3,4,7,"v_5220",136,2.81183218985491e-05,96564.7427243681
"1925548",10,4,6,1,6,5,"v_4810",145,2.81135788585887e-05,68819.6644986359
"435",485,263,326,296,383,396,"v_2033",324,2.81127885074921e-05,28090.2075728739
"587",43,0,19,16,0,0,"v_3376",20,2.81080473339517e-05,637.146122373095
"417127",17,23,27,7,13,12,"v_4190",17,2.81072572938333e-05,8938.63877218417
"336988",8,5,4,7,4,5,"v_5352",100,2.81072572938333e-05,42930.9979553477
"1564506",552,238,323,322,321,354,"v_2118",144,2.80977802753582e-05,22688.9386982659
"1032623",9,5,4,0,5,6,"v_3881",56,2.8096990812284e-05,34495.3989371483
"143813",151,113,209,121,97,117,"v_2876",7,2.80954120192173e-05,49.7376861492293
"379068",14,14,27,7,9,17,"v_4191",10,2.80938334035679e-05,2789.35863091414
"670052",549,287,269,293,282,293,"v_239",102,2.80875207145465e-05,37730.5681197085
"71997",14,0,2,6,6,6,"v_5634",107,2.80867318278845e-05,5876.71658698219
"182773",10,21,19,5,10,6,"v_1210",18,2.80851541874965e-05,2484.64782617691
"2527996",533,293,306,251,357,360,"v_4094",281,2.808199943836e-05,11583.2984792618
"2358187",12,6,8,3,8,8,"v_3552",71,2.80780569984557e-05,12883.344667305
"2501295",281,582,209,174,223,280,"v_2846",28,2.80725394419179e-05,21271.0927561007
"519472",7,1,3,4,5,9,"v_5398",148,2.80615108317432e-05,22798.7161288661
"54248",8,3,1,3,6,7,"v_4477",108,2.80607234054494e-05,17578.3767250224
"1755504",710,246,359,231,229,303,"v_2860",85,2.80520646319569e-05,3446.10895623916
"1970191",16,19,20,12,13,19,"v_4260",17,2.80520646319569e-05,276.672435264798
"1982899",18,0,1,4,6,2,"v_4645",44,2.80520646319569e-05,6900.78021525885
"2319844",495,378,284,325,333,357,"v_1855",65,2.8030833917309e-05,23321.1606745092
"2303332",59,62,73,42,45,62,"v_3709",8,2.80276913590628e-05,999.128465527227
"2638681",39,31,48,3,3,9,"v_4609",10,2.80261203441608e-05,513.299589074518
"2094119",432,316,234,255,313,245,"v_456",46,2.8021408355984e-05,1178.42653983177
"35841",88,84,84,47,27,25,"v_888",5,2.80206231786595e-05,993.876153495905
"1367847",549,326,357,281,367,360,"v_2078",269,2.80190529560101e-05,10601.6581643382
"2060722",25,12,28,13,7,15,"v_4263",10,2.80182679106778e-05,1930.04520191736
"529709",8,3,4,7,4,5,"v_5643",131,2.80182679106778e-05,43103.8496364505
"1537215",458,218,247,288,293,278,"v_2162",110,2.80166979519794e-05,24915.6878526982
"1235834",6,3,6,0,8,9,"v_3208",53,2.80127738248641e-05,2465.24797680634
"2774460",103,72,561,45,76,69,"v_3068",16,2.80112044817927e-05,29.8306866923669
"379899",306,384,249,194,361,371,"v_4236",46,2.80041446134028e-05,19686.1148920041
"2593640",488,258,291,331,479,407,"v_3921",281,2.80025762370138e-05,21722.6313442304
"318167",14,7,0,2,10,4,"v_5092",69,2.80017921146953e-05,2536.54381452511
"128944",8,6,6,9,6,2,"v_1164",55,2.80010080362893e-05,2538.83992461533
"106654",12,10,18,10,9,14,"v_4875",58,2.79970883028165e-05,2619.5110550713
"1548547",500,325,368,261,348,375,"v_3451",270,2.79892521271832e-05,12218.1739537952
"103816",373,268,183,304,176,163,"v_486",13,2.79822033186893e-05,3513.34470836168
"1449",34,18,26,9,12,6,"v_909",10,2.79822033186893e-05,2511.02939672471
"1453359",5,4,3,12,8,4,"v_1464",56,2.79814203368963e-05,7420.98314352057
"1329",8,4,2,5,3,5,"v_1130",62,2.79798545047566e-05,44179.4651910595
"60890",465,256,267,260,0,282,"v_2127",50,2.79790716544025e-05,426.962847035505
"1042878",389,250,351,244,361,390,"v_2416",191,2.7972027972028e-05,11408.9481022355
"2054914",280,234,314,141,173,213,"v_2864",21,2.7968116347364e-05,2974.19943839962
"391936",423,354,331,246,378,364,"v_3502",118,2.79642058165548e-05,43134.5120378337
"332101",2,6,3,2,10,9,"v_5421",76,2.79626419104077e-05,7391.5562705397
"2571750",8,6,4,8,4,4,"v_5397",81,2.79610781791746e-05,16578.2761242858
"1331258",492,320,337,291,408,390,"v_2564",303,2.79602963791416e-05,20066.525224504
"1176327",21,22,20,17,15,20,"v_4182",12,2.79602963791416e-05,3185.44757255222
"76831",79,152,191,34,57,41,"v_4166",10,2.79587329102245e-05,3386.92929865438
"2014542",537,345,360,298,414,387,"v_3500",327,2.79438886715475e-05,27146.1760454906
"1714845",9,9,10,4,11,9,"v_3553",42,2.79438886715475e-05,9310.9018688282
"2077182",465,385,280,334,342,318,"v_1934",42,2.79431078324531e-05,49272.2803530811
"83816",11,8,5,2,4,5,"v_5649",77,2.79431078324531e-05,10363.3053809257
"62977",8,10,8,7,11,4,"v_3111",20,2.79368626903199e-05,1742.12494059995
"266265",506,247,392,284,439,436,"v_2452",325,2.79360822438261e-05,18911.8164649899
"2622029",6,5,7,8,4,5,"v_5463",54,2.79353018409364e-05,17583.5967053186
"1294273",580,293,300,333,331,374,"v_2165",240,2.7934521481647e-05,21434.7931963381
"1550728",287,253,136,197,157,198,"v_1939",16,2.79337411659544e-05,4553.44321155391
"157782",380,253,370,234,246,304,"v_3022",52,2.79314004804201e-05,7492.28283113964
"2613965",524,268,332,286,328,367,"v_2163",215,2.79306203390777e-05,7859.93476699309
"55529",8,8,8,11,6,5,"v_4436",17,2.79290601871247e-05,3584.2550221729
"286802",535,245,267,318,331,279,"v_597",85,2.79267202859696e-05,6786.54049419845
"1307763",574,224,312,347,437,409,"v_4127",321,2.79259404060432e-05,20088.7924900324
"1144748",15,19,8,9,10,14,"v_3530",33,2.7920482465937e-05,1450.30357648672
"955",6,4,6,2,4,5,"v_2233",55,2.79119100120021e-05,1191.90458314117
"2698686",13,1,1,2,9,3,"v_3585",79,2.79103519495381e-05,27846.1196062609
"2812019",240,297,211,405,386,457,"v_4235",52,2.7900228781876e-05,18324.991356519
"1064539",504,264,309,319,464,395,"v_1990",300,2.7897893709025e-05,22940.4728417005
"2614442",376,218,219,353,275,283,"v_2857",33,2.78963372109242e-05,443.919308046687
"237609",274,202,311,194,179,183,"v_3030",13,2.78924467254268e-05,576.849452035017
"2315855",9,3,3,4,8,3,"v_5797",157,2.78916687585418e-05,71980.9547826326
"169430",542,323,397,294,455,414,"v_2455",296,2.78877795749902e-05,26655.8641660139
"2282310",9,6,6,3,11,13,"v_4928",94,2.78877795749902e-05,4183.97493989453
"1282737",429,206,250,287,269,255,"v_709",88,2.78870018684291e-05,12431.8482912332
"607711",18,18,52,16,14,17,"v_2720",13,2.78854465854271e-05,1275.93804419346
"1163617",461,253,377,238,357,381,"v_2633",255,2.7877672771877e-05,12600.483373736
"523791",18,9,28,9,14,13,"v_3529",26,2.78745644599303e-05,2119.77628677148
"2148",5,4,11,4,4,6,"v_5537",71,2.78745644599303e-05,8853.52424799961
"308754",498,253,278,308,325,319,"v_2117",113,2.7873010563871e-05,25646.411330136
"199591",569,270,272,336,318,316,"v_300",129,2.78714568410491e-05,23583.5082611734
"2814656",11,2,2,2,8,5,"v_5590",158,2.78621381404809e-05,34883.4406544335
"198620",211,140,388,117,173,107,"v_3034",10,2.78574811265565e-05,73.6500963009389
"2681387",5,8,10,12,9,16,"v_3160",31,2.78536014706702e-05,3318.5976466254
"444051",7,12,37,0,5,8,"v_4200",15,2.78528256691641e-05,2882.54060601761
"2641148",612,315,267,280,276,262,"v_257",123,2.78497228952572e-05,20485.3417592876
"1346614",10,6,2,3,7,3,"v_4983",108,2.78450700303511e-05,36788.0373748295
"235559",8,6,3,1,8,5,"v_3391",43,2.78442947040151e-05,8512.64218626179
"521045",9,1,6,14,11,7,"v_4371",55,2.78442947040151e-05,9560.31217158792
"105219",491,308,348,264,655,387,"v_2464",294,2.78388686283789e-05,24195.1333654787
"1101443",9,19,8,8,3,9,"v_2816",12,2.78388686283789e-05,2658.53325728851
"1873716",515,370,355,323,410,440,"v_2228",337,2.78318953520735e-05,19961.3693975805
"119484",561,240,310,354,483,433,"v_3968",337,2.78318953520735e-05,19961.3693975805
"868131",9,2,3,3,4,7,"v_5651",177,2.78241513633834e-05,124734.686986212
"1884904",10,5,6,4,7,8,"v_768",70,2.78218290070389e-05,2825.22110012734
"431057",15,9,8,8,14,6,"v_4126",35,2.78071297480674e-05,1208.51565486599
"536044",7,6,8,7,3,5,"v_5626",35,2.78055833611389e-05,8676.69651677914
"76859",7,2,2,3,5,8,"v_5605",166,2.78017181461814e-05,121907.492798773
"1678128",369,320,378,209,405,309,"v_2358",65,2.77978540056708e-05,14398.7805263955
"1716143",493,255,296,342,449,400,"v_3932",264,2.7793990939159e-05,12478.312387353
"114292",6,6,5,2,6,5,"v_2242",68,2.77909012589278e-05,7319.24182492304
"113107",8,3,3,6,3,5,"v_1115",82,2.77878122655403e-05,8176.07169751211
"853",604,271,336,326,440,398,"v_1174",307,2.77878122655403e-05,20790.5447536594
"464988",5,4,3,10,7,3,"v_4434",53,2.7782408179141e-05,6785.90669183757
"2161872",6,6,8,5,9,5,"v_3649",55,2.77785494041501e-05,7924.28380845787
"1042877",14,5,4,9,11,6,"v_5629",91,2.77770061942724e-05,3311.09213491445
"1720344",9,6,2,5,3,4,"v_3118",31,2.77754631558481e-05,16575.5168608525
"1535231",20,26,32,11,16,12,"v_4180",14,2.77700638711469e-05,5189.18003418236
"2619626",239,91,122,523,825,238,"v_1430",44,2.77685216039098e-05,2771.32129278083
"2643926",8,10,9,4,6,7,"v_4610",29,2.77677505345292e-05,7334.91889867007
"150120",14,5,4,4,6,9,"v_3608",71,2.77654375832963e-05,9984.6611951931
"2714947",10,6,8,1,6,3,"v_1147",49,2.77623542476402e-05,9488.39025980503
"60480",8,7,6,15,5,9,"v_3587",17,2.7761583520724e-05,11097.2213268662
"573570",4,12,5,2,7,5,"v_5177",64,2.77608128365999e-05,2978.47689490384
"1473112",95,40,480,42,51,57,"v_927",4,2.7753878604535e-05,51.0529708295719
"2169400",537,271,339,290,330,352,"v_2161",217,2.7753878604535e-05,7161.15694908223
"1987723",682,157,247,142,85,340,"v_3706",20,2.77507978354378e-05,806.330615166117
"33033",11,6,13,7,8,6,"v_1364",48,2.77492577073563e-05,18503.4098141404
"1095900",14,7,4,0,9,3,"v_4771",62,2.77484877074199e-05,536.915469509875
"1789",490,288,244,335,324,259,"v_454",66,2.77454081349537e-05,4891.04827438006
"859656",11,11,10,8,12,10,"v_2459",57,2.77454081349537e-05,2920.87833540962
"656366",503,217,242,261,228,196,"v_137",67,2.77430989041476e-05,4367.29771119304
"2648737",646,272,275,342,513,431,"v_787",304,2.77400205276152e-05,30341.3428648269
"2017485",548,257,283,313,337,298,"v_310",98,2.77384815955175e-05,17052.335025617
"1314869",5,6,5,2,12,4,"v_5109",64,2.77361735175015e-05,5906.2049239317
"182710",409,41,118,36,16,43,"v_871",9,2.77338658235571e-05,6359.38773751534
"1867846",14,15,45,9,16,12,"v_3807",16,2.77338658235571e-05,1444.84652072768
"78398",24,14,57,18,12,12,"v_3363",6,2.7733096677575e-05,664.524587961977
"489653",8,4,1,5,4,4,"v_2712",88,2.77254075634912e-05,10722.0777679536
"1871111",9,8,2,2,5,5,"v_4884",78,2.77254075634912e-05,32979.2776943767
"2646250",647,250,243,471,367,249,"v_652",105,2.77215646051063e-05,25070.5388905452
"1005048",313,196,786,160,282,229,"v_2533",56,2.77192593413904e-05,4100.8088832728
"1224147",6,5,2,4,5,8,"v_3353",73,2.77169544610438e-05,17218.2397342475
"2715211",453,278,282,295,333,329,"v_2152",58,2.77138818834354e-05,7645.5046280855
"436717",4,10,70,3,7,5,"v_3116",5,2.77138818834354e-05,136.412043490167
"1245526",503,275,314,355,402,414,"v_3023",287,2.77092742941062e-05,13026.7681599025
"120045",20,19,18,17,20,8,"v_1945",7,2.77054358065052e-05,10.7947051011348
"2584094",456,350,280,347,318,341,"v_1933",59,2.76977620208287e-05,23400.6135441667
"2036206",8,4,3,8,9,11,"v_5407",97,2.76969948760559e-05,7657.55392130981
"243233",542,320,343,300,448,466,"v_3690",321,2.76939267218699e-05,16376.7263802741
"673860",4,2,5,4,5,7,"v_5700",128,2.7693159789532e-05,65167.7021604525
"29543",526,197,282,328,525,433,"v_3914",299,2.76908592473624e-05,12882.599732409
"1285599",9,2,3,5,5,4,"v_6136",151,2.76893257649176e-05,135574.059004718
"1761016",504,301,384,280,423,408,"v_2451",294,2.76877924523078e-05,12701.3152474188
"1897729",588,284,344,278,367,440,"v_3477",296,2.76870258596822e-05,13233.5942353009
"197",8,10,5,7,7,4,"v_5232",35,2.76824271952165e-05,2156.7360425115
"2587844",600,297,331,365,472,467,"v_3453",336,2.7681660899654e-05,29697.5087480097
"1408160",9,11,7,2,9,9,"v_5582",26,2.76778300581234e-05,5857.97294468332
"1648",6,7,7,1,5,6,"v_5454",79,2.76678748305343e-05,7023.5899208978
"1302376",4,8,9,3,6,7,"v_4863",57,2.76648131241873e-05,4192.47033490212
"1922217",51,42,29,22,30,16,"v_3326",8,2.76625172890733e-05,2821.29032289874
"2003370",5,8,5,5,4,7,"v_5153",49,2.76625172890733e-05,6668.25875095284
"60550",555,258,314,274,563,377,"v_2373",296,2.76609869440142e-05,11751.1439635094
"2004647",10,5,8,3,3,4,"v_4865",78,2.76594567682691e-05,15107.4935817022
"2003316",3,5,4,3,11,4,"v_5098",69,2.76586917438805e-05,9581.84608254088
"93218",439,347,451,239,443,366,"v_2473",150,2.76502792678206e-05,26757.5454332671
"2771012",555,406,345,285,391,403,"v_3442",111,2.76487502764875e-05,9541.30933527177
"978",46,73,39,32,21,51,"v_4146",5,2.76418719075656e-05,1126.11337571179
"162496",552,232,294,255,203,199,"v_156",58,2.76411078556029e-05,8386.89910248424
"2086577",96,23,56,60,15,25,"v_856",5,2.76411078556029e-05,218.07556218212
"2293317",12,7,4,2,2,9,"v_1302",54,2.76311790224089e-05,2407.27239978008
"948",6,7,3,8,5,5,"v_4800",49,2.76212573196332e-05,6094.63229495789
"246200",536,291,355,298,349,372,"v_2139",219,2.76189687077085e-05,7656.31899414437
"31994",526,310,412,293,419,348,"v_1802",281,2.76159178150286e-05,15687.0041431396
"469616",14,2,4,2,1,9,"v_5608",61,2.76151551971722e-05,4044.92682818982
"38875",77,73,72,75,33,41,"v_822",3,2.76105803743995e-05,303.494081875329
"925818",613,319,377,348,429,388,"v_1709",281,2.76105803743995e-05,24060.8999383727
"37931",283,213,147,128,95,86,"v_165",14,2.76090557702927e-05,9584.33091564802
"2017484",584,320,285,379,368,376,"v_311",218,2.7604482968034e-05,23107.8490100823
"1346",9,4,2,5,6,3,"v_5369",122,2.75961034301957e-05,50172.3806717848
"1884916",6,1,3,3,6,5,"v_773",117,2.75938189845475e-05,15154.4799979369
"1609966",610,323,346,285,339,367,"v_2160",99,2.75938189845475e-05,2262.98796007941
"1844971",318,295,484,176,398,325,"v_2360",52,2.75938189845475e-05,6018.51437797697
"79967",13,3,0,7,13,11,"v_3329",104,2.75922962308923e-05,9615.12474669963
"1670797",10,9,39,6,19,8,"v_1103",11,2.75900124155056e-05,375.20198922482
"186192",638,223,287,398,483,410,"v_1400",286,2.758316323716e-05,24562.8728439218
"398694",591,302,258,354,360,302,"v_451",134,2.75793596072699e-05,29856.9917877075
"68173",620,296,276,374,370,330,"v_128",102,2.75770779328222e-05,16662.1261843173
"658641",5,8,6,2,5,5,"v_4856",61,2.75770779328222e-05,17496.6934317016
"1531",7,3,7,6,10,7,"v_5425",91,2.75755570262519e-05,8213.93528616374
"2489595",90,72,42,17,34,40,"v_3560",5,2.75747966358748e-05,951.367872740997
"759620",3,1,10,6,7,4,"v_5331",60,2.75694750771945e-05,3825.36176596304
"1075",611,300,349,386,375,367,"v_2085",197,2.75656752212145e-05,25121.3813938285
"2072413",269,431,217,192,205,244,"v_2765",34,2.75603571822291e-05,17000.2872581185
"143361",10,3,5,8,10,7,"v_5429",91,2.75580786507565e-05,3918.15207806329
"590652",540,303,225,318,364,301,"v_453",101,2.75573192239859e-05,6879.06875686059
"1602",15,1,1,1,8,4,"v_1096",66,2.75565598390697e-05,4697.8752448494
"1578828",5,1,4,6,8,4,"v_5044",111,2.75535227178795e-05,18485.4714938958
"2587865",6,10,8,7,16,13,"v_3768",40,2.75520044083207e-05,5650.32377034361
"882378",473,278,358,368,527,432,"v_2483",267,2.75512453162883e-05,23640.4477005318
