"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2316383",55,25,24,32,42,33,"v_1323",136,3.4109902104581e-05,112687.034980493
"114529",64,36,26,36,48,41,"v_4499",128,3.4106412005457e-05,63120.0631774936
"28082",29,12,10,18,58,27,"v_3814",114,3.4101759650798e-05,23392.4655864859
"178898",60,25,19,30,36,46,"v_1172",144,3.40994339493964e-05,46907.3816615045
"824",81,31,40,49,58,66,"v_3976",121,3.40924587481249e-05,64062.8778832537
"2252",115,37,58,59,79,75,"v_4498",204,3.40924587481249e-05,147829.058994445
"2587854",98,51,55,47,65,62,"v_1792",130,3.40912964920056e-05,82503.0453706609
"84980",35,28,26,30,32,33,"v_3965",106,3.40878101990728e-05,118370.596223688
"2377",68,24,39,36,76,60,"v_1335",137,3.40773555972057e-05,49820.9290976766
"161899",71,40,25,32,66,70,"v_571",135,3.40750332231574e-05,89722.6638486787
"1639",110,25,44,33,45,33,"v_1038",75,3.40738721548317e-05,61863.1963605092
"2623549",45,16,18,24,29,24,"v_4020",151,3.40727111656274e-05,36720.8364724187
"265883",39,14,12,22,31,23,"v_3829",110,3.40715502555366e-05,109132.550046235
"505",80,49,52,43,64,67,"v_2731",138,3.40692286726629e-05,54095.0747370319
"869211",88,37,40,47,79,51,"v_4329",140,3.40657468915006e-05,109937.518141572
"891968",60,12,33,35,45,33,"v_4356",97,3.40645864559204e-05,16899.1104757041
"397864",87,54,45,56,65,65,"v_4258",133,3.40529864469114e-05,109565.257605709
"2662448",64,33,34,28,33,38,"v_3797",123,3.40506673930809e-05,61167.6291497097
"568768",52,23,37,23,47,31,"v_3354",112,3.40460302328748e-05,53526.775231026
"2562661",28,17,11,18,23,46,"v_4651",114,3.40425531914894e-05,89564.216100141
"2560057",64,48,45,31,60,48,"v_2062",71,3.40379182409204e-05,41743.6348611408
"1979527",63,28,30,26,36,31,"v_569",111,3.40356012388959e-05,77768.2968988538
"2052056",73,39,37,46,55,56,"v_3306",184,3.40309681810448e-05,48914.9910321125
"1445510",79,55,56,48,66,54,"v_3524",133,3.4027494215326e-05,73753.3837002376
"100715",81,28,30,33,55,49,"v_4278",122,3.40263363843615e-05,121697.011137695
"1814290",79,29,33,64,56,68,"v_3433",127,3.40240209587969e-05,43683.3335985035
"1930071",47,26,31,21,42,37,"v_1336",93,3.40205484112404e-05,88240.6328351418
"61646",127,59,58,62,79,93,"v_3229",225,3.40159194503027e-05,112744.011891919
"2640676",68,41,42,29,47,44,"v_2232",130,3.40078217990138e-05,31963.0398646935
"1637837",38,21,29,29,65,32,"v_2405",136,3.40043525571273e-05,86187.5704475523
"1697053",30,12,23,11,32,21,"v_3086",72,3.40031963004522e-05,56254.588540354
"1522",43,18,20,26,37,25,"v_1347",118,3.40020401224073e-05,32632.2712620582
"1636423",54,32,27,37,53,42,"v_2404",113,3.39962604113547e-05,73119.6779304576
"2815358",53,40,37,39,100,49,"v_3197",138,3.39962604113547e-05,24089.3510683013
"626937",105,47,55,55,68,62,"v_1282",138,3.3991638057038e-05,88446.1445498664
"335283",79,42,39,34,61,41,"v_2615",150,3.3991638057038e-05,47074.7897113483
"43658",70,37,50,50,74,58,"v_3623",115,3.39870169595215e-05,82466.1248028209
"1397703",54,19,19,97,45,42,"v_1435",83,3.39847068819031e-05,19817.58235521
"2296",83,31,59,65,56,69,"v_3957",111,3.3983551960851e-05,32676.637652017
"1178515",103,36,53,45,50,48,"v_937",119,3.39777785328395e-05,51675.3024109672
"146786",35,15,22,45,29,33,"v_1408",105,3.39777785328395e-05,25828.1151570321
"89153",61,25,36,23,47,37,"v_1232",127,3.39766240826311e-05,48640.705708462
"326522",47,19,29,32,30,35,"v_2719",106,3.39754697108688e-05,79854.0192216086
"1471400",99,36,34,39,32,33,"v_568",50,3.39731612026499e-05,43988.1620456062
"407035",36,17,19,22,19,29,"v_1032",110,3.3970853008119e-05,39092.6344963753
"2305987",31,21,21,19,29,26,"v_1700",154,3.3960470012905e-05,188117.594111793
"545695",75,21,47,41,51,43,"v_4316",184,3.39593167385472e-05,39397.6926153886
"2315863",33,12,21,17,23,19,"v_4644",124,3.39593167385472e-05,46078.0575204115
"595494",52,19,24,38,46,35,"v_3684",112,3.39500933627567e-05,55962.18186153
"28087",51,20,20,10,36,20,"v_3812",82,3.39500933627567e-05,43390.3207743266
"2766701",37,25,20,17,32,39,"v_4318",116,3.39443312966735e-05,107781.789876317
"2774055",65,43,51,41,46,46,"v_3232",136,3.39397230518599e-05,21640.5195375056
"2608887",39,17,20,23,26,20,"v_1111",105,3.39362676892795e-05,58239.6760111433
"44250",70,24,32,48,51,47,"v_938",117,3.39351160580969e-05,60067.4421408006
"367825",74,32,46,51,58,78,"v_2428",203,3.39236040436936e-05,49770.1852501584
"1815583",75,51,40,53,70,59,"v_2708",85,3.39178509649629e-05,85536.2597499906
"74661",55,22,32,36,42,35,"v_3486",117,3.39097999321804e-05,67926.5140438478
"2631020",89,50,45,46,61,72,"v_721",210,3.3889114816321e-05,51773.6293691376
"1055101",60,35,44,42,63,58,"v_3490",135,3.38879663831373e-05,43014.9583185348
"1188228",43,13,21,53,25,46,"v_1472",96,3.38856697502626e-05,27520.4372660079
