"","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","X1ayWM2CHIPOOB100705.extra.kraken2.report","oAVVM2CHIPOOB051360.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1313",4,0,1,10,7,24,13,"v_4195",76,3.01277416244878e-05,107197.290779624
"1674923",1,0,1,6,1,9,5,"v_5329",37,2.61828083680256e-05,107114.283877894
"1652495",16,4,4,22,13,28,9,"v_3504",33,3.10481867858917e-05,106802.58545381
"930805",66,53,24,226,138,214,74,"v_2316",72,3.0392365437802e-05,106494.020346537
"693661",4,1,1,6,5,17,10,"v_5390",89,2.97441998810232e-05,105836.584497053
"670052",165,91,90,487,224,600,287,"v_3030",119,2.75482093663912e-05,105172.479425149
"85620",2,0,0,1,2,8,4,"v_4759",54,2.57758531807403e-05,105088.899972737
"2733484",16,15,8,48,14,64,33,"v_2220",60,3.26104679602152e-05,104098.37073808
"1497",2,3,1,15,11,20,20,"v_4335",63,3.09386795371574e-05,104014.462966942
"1656",70,41,41,188,123,305,156,"v_3682",127,3.06936771025169e-05,103656.977203416
"564",14,6,3,24,18,47,14,"v_1885",65,3.24443579261566e-05,101955.502655887
"82135",7,2,3,14,8,17,4,"v_3709",13,2.85428856857428e-05,101225.361647577
"1804624",291,160,160,936,380,990,546,"v_3541",59,2.47096614776378e-05,101201.729120714
"2358187",2,1,0,6,4,11,9,"v_2379",78,2.82334340325814e-05,101092.476556452
"824",25,15,13,53,38,79,45,"v_2865",93,3.31575980635963e-05,99185.2484890987
"1912897",2,2,1,11,8,21,7,"v_4389",53,3.0065241574216e-05,99167.5457907047
"1965282",34,25,14,103,58,113,41,"v_2430",102,3.25034128583501e-05,98503.8916677868
"2527971",55,35,22,165,97,259,94,"v_4800",137,3.17349497001047e-05,98212.5746980087
"45663",29,29,15,90,74,157,67,"v_2818",93,3.24907401390604e-05,98044.8765933787
"120683",3,2,1,9,8,16,7,"v_5039",64,2.99123567945918e-05,97297.7060168312
"323261",22,16,6,59,33,88,41,"v_2185",96,3.30578512396694e-05,97096.4735572243
"1340",4,1,0,5,2,10,6,"v_4216",29,2.76296521426795e-05,96570.0195735969
"2054915",18,6,4,47,44,48,13,"v_1495",55,3.22310320376458e-05,96424.7780376444
"2619470",0,0,0,9,3,11,7,"v_4359",48,2.67816492139586e-05,96344.3880622592
"1308",4,2,1,9,11,21,13,"v_4197",83,3.04673694473219e-05,95922.250209871
"2073078",66,23,19,116,65,135,65,"v_1470",102,3.23195759671633e-05,95768.5278255865
"1579",1,0,0,7,2,7,2,"v_4079",33,2.52506123273489e-05,95718.7617262937
"1531",1,2,0,11,3,14,4,"v_4400",46,2.77392510402219e-05,95533.2914290833
"938155",0,1,0,5,2,7,7,"v_4139",46,2.62391435543544e-05,95369.4375168425
"2107709",9,4,2,11,20,37,20,"v_5952",74,3.19468404574788e-05,95117.6234040502
"1814290",32,18,12,74,43,125,39,"v_2184",112,3.28601472134595e-05,94354.8446677994
"204",25,14,10,59,48,83,31,"v_2864",84,3.3206043499917e-05,93568.345597354
"1933880",59,41,25,241,121,238,120,"v_3082",45,3.02251775729182e-05,93205.9085160426
"1133560",1,0,0,3,0,3,4,"v_5780",41,2.31401133865556e-05,93121.8153024334
"51161",0,0,0,8,3,7,7,"v_2725",46,2.6536461097548e-05,93085.6354284332
"407035",16,8,4,31,21,37,32,"v_4060",43,3.21450384133209e-05,92936.3892435317
"458817",2,5,2,22,7,27,12,"v_2444",59,3.06044376434583e-05,92831.0702151891
"69527",45,28,23,126,77,202,89,"v_5273",103,3.16746381172595e-05,92773.3576144016
"1474",5,4,1,8,8,24,33,"v_3923",77,3.16937119675456e-05,92736.554140816
"29495",16,8,7,37,25,63,30,"v_2583",59,3.24844074844075e-05,92071.1446983576
"1603886",39,28,17,103,62,155,94,"v_3731",82,3.21295463308058e-05,92045.0779418739
"84599",1,0,0,2,2,8,3,"v_5462",43,2.49451207343844e-05,91595.5154703812
"146786",16,9,4,29,25,47,17,"v_4578",88,3.28655470470306e-05,90776.793724234
"222891",0,0,0,4,1,5,1,"v_758",44,2.2363359871187e-05,90629.2073978004
"1653476",6,2,0,6,13,20,7,"v_5150",59,3.01105055553883e-05,90338.29922875
"1624",10,2,0,11,8,27,14,"v_4148",73,3.12207305650952e-05,90139.7396781726
"2675099",69,50,34,174,152,354,152,"v_5268",154,3.09033035631509e-05,89642.1714359156
"2285",2,0,0,3,1,9,3,"v_5438",51,2.5499796001632e-05,89587.3624376049
"2785912",19,9,6,31,31,51,24,"v_515",67,3.2599837000815e-05,89535.0944932598
"1085623",5,2,1,17,6,29,14,"v_2397",62,3.06391322997733e-05,89278.6401232755
"33943",32,30,19,64,56,118,72,"v_4009",73,3.20831595495524e-05,89111.6386564826
"2587865",13,3,2,17,20,21,11,"v_2571",65,3.14574223788103e-05,88862.8320247428
"1306274",14,7,1,27,23,47,32,"v_4594",71,3.24728040266277e-05,88825.8398566595
"1655",54,40,36,155,91,208,124,"v_3686",119,3.07493619507395e-05,88783.9215296245
"1608473",3,0,1,5,4,10,1,"v_1684",20,2.57135510413988e-05,88572.6493772551
"2527973",67,40,17,168,98,204,92,"v_4799",128,3.1646571094022e-05,87982.6521637078
"1510841",47,28,28,130,81,154,85,"v_689",98,3.15059861373661e-05,87743.0094016939
"1968541",85,74,46,359,161,311,128,"v_509",70,2.90486564996369e-05,87501.2716251295
"46256",2,0,0,4,2,7,5,"v_4115",60,2.58571650204272e-05,87373.1826321093
"155866",6,2,2,13,7,15,7,"v_4111",67,3.00824258468203e-05,87281.9900782848
"2781022",110,66,56,524,323,325,113,"v_1324",48,2.74423710208562e-05,87251.3890019245
"33995",53,36,26,133,82,184,81,"v_656",133,3.17561130517625e-05,87123.5299846722
"862965",0,0,0,2,1,3,1,"v_2731",73,2.07318337306935e-05,86709.4083832897
"82977",29,8,6,34,34,61,21,"v_1911",77,3.28137817883511e-05,86620.9242848217
"60847",65,36,31,98,88,219,120,"v_5235",111,3.12891113892365e-05,86278.1045931832
"2749961",0,0,0,2,1,6,1,"v_4240",46,2.2124383282816e-05,85939.8760927818
"115561",89,60,24,225,121,299,118,"v_2232",122,3.08384987818793e-05,85913.0688116698
"95641",23,15,9,56,45,84,34,"v_2547",102,3.30797221303341e-05,85718.9318454268
"1536648",45,29,17,75,77,154,79,"v_4664",114,3.23614122520307e-05,85460.428285346
"34346",7,2,9,24,14,53,22,"v_5196",39,3.05408789664967e-05,85163.739276756
"265606",91,73,34,305,161,372,167,"v_4787",89,2.96366546144271e-05,84590.2570026781
"2624956",0,0,1,6,1,6,1,"v_5387",23,2.25519823192459e-05,84547.2523262277
"258224",16,13,11,44,38,68,36,"v_3494",66,3.29608754408517e-05,84352.6173045243
"538220",0,0,1,2,1,4,2,"v_4688",51,2.23643601556559e-05,84285.4610353414
"1294",4,0,1,6,1,18,10,"v_4032",44,2.85665314517511e-05,83291.1608951946
"1264",14,2,2,17,12,26,15,"v_4305",60,3.15338042381433e-05,83162.3945251911
"57706",6,1,0,8,6,8,2,"v_1816",36,2.77292515874997e-05,83057.2118041514
"935588",0,0,0,2,0,2,0,"v_1255",23,1.79930546808932e-05,83027.6788876252
"1173297",0,0,0,2,0,2,0,"v_5744",23,1.79930546808932e-05,83027.6788876252
"1231361",0,0,0,2,0,2,0,"v_5797",23,1.79930546808932e-05,83027.6788876252
"105841",10,3,2,10,14,23,19,"v_4406",55,3.13263579976192e-05,82868.3144962804
"1965231",2,0,0,7,3,12,11,"v_2878",70,2.79111309590265e-05,82851.8433020095
"1941349",12,7,3,37,11,52,34,"v_4819",65,3.23258445126879e-05,82801.3192735289
"119981",197,114,112,497,290,724,378,"v_3565",163,2.6805339623653e-05,82678.077489789
"39488",6,1,1,8,7,18,14,"v_4417",80,3.01177604433334e-05,82581.1974005216
"156976",41,26,20,85,79,158,58,"v_3475",116,3.24443579261566e-05,81532.0737170418
"1542390",2,0,0,2,1,5,3,"v_2697",63,2.44313600938164e-05,81220.6435253626
