"","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","X1ayWM2CHIPOOB100705.extra.kraken2.report","oAVVM2CHIPOOB051360.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"67267",596,267,339,1093,729,1734,1100,"v_3234",104,2.23274091274449e-05,9209.1139982301
"51101",103,70,102,181,151,307,220,"v_3984",39,2.75231882861311e-05,9207.30746195561
"2763107",336,297,245,714,552,1238,720,"v_5017",164,2.43208405282487e-05,9207.05473862398
"675090",68,65,78,262,155,363,190,"v_3679",68,2.85266010554842e-05,9206.99388825435
"1842539",699,464,406,2917,1224,2047,1215,"v_48",30,2.08112214105846e-05,9203.69959074055
"207745",529,352,247,3208,1419,1479,739,"v_838",75,2.14073170209578e-05,9191.95995566308
"318167",4,3,2,14,1,10,6,"v_2452",28,2.75968649961364e-05,9190.20419465332
"2066024",3,1,3,5,3,3,3,"v_775",9,2.33934545114277e-05,9187.19250578488
"82688",3,1,0,2,3,5,8,"v_4174",31,2.65209780936721e-05,9186.28955604128
"1190813",1,0,1,8,10,6,2,"v_2494",12,2.4976272541086e-05,9182.06236501451
"2202825",678,422,445,2092,1147,2174,1283,"v_226",123,2.18837535014006e-05,9178.48531081389
"1042878",164,92,103,408,447,541,256,"v_997",53,2.66979923109782e-05,9167.72181694877
"349967",10,4,4,32,15,37,14,"v_1982",28,3.0218783996132e-05,9167.63649224954
"1241832",2,0,0,0,1,1,0,"v_6134",31,2.03591351439391e-05,9162.54119357631
"2656547",2,0,0,0,1,1,0,"v_6222",31,2.03591351439391e-05,9162.54119357631
"56730",202,119,80,791,305,564,284,"v_80",43,2.57559367434194e-05,9155.23494079054
"218284",13,14,20,40,24,58,110,"v_3819",36,2.97265160523187e-05,9154.60055506261
"2448483",3,3,2,13,8,10,7,"v_1955",24,2.77677505345292e-05,9152.87872641141
"1848766",1,0,1,2,0,4,0,"v_2892",27,2.12607632614011e-05,9148.74601962303
"269673",30,19,21,43,40,86,58,"v_4072",31,3.04497426996742e-05,9144.78772139977
"488",9,10,7,34,20,53,21,"v_1262",37,3.1136158420774e-05,9141.86379379658
"454",9,5,5,26,20,26,12,"v_2645",33,3.12382856428839e-05,9139.62655572518
"1408160",1,2,2,10,1,9,2,"v_5109",19,2.53762021975791e-05,9139.40336725859
"1609966",179,109,105,616,357,619,291,"v_582",36,2.66930037637135e-05,9131.85195497609
"1167634",38,9,8,40,39,63,25,"v_1083",72,3.19447993866599e-05,9114.45778446711
"87883",685,490,469,1654,1161,2321,1269,"v_941",119,2.17410209583442e-05,9113.75160945876
"2009329",395,231,191,1134,670,1293,518,"v_562",92,2.42212856658431e-05,9094.2256900559
"2290923",430,344,273,990,985,1532,730,"v_1273",111,2.33475753542995e-05,9086.44808827895
"1792307",524,309,331,2159,878,1500,932,"v_49",25,2.10997172637887e-05,9085.77224474195
"2662397",496,195,290,887,508,1196,975,"v_3260",32,2.25958062183659e-05,9083.45393678852
"370764",284,148,151,1335,399,886,498,"v_2980",31,2.34813440721347e-05,9063.20787077237
"1623288",3,0,1,0,0,0,2,"v_6506",6,2.11761218050526e-05,9062.51210522576
"2487150",0,1,1,7,1,6,5,"v_1938",15,2.51990726741256e-05,9059.01727035012
"1346614",0,1,1,7,2,6,5,"v_1970",15,2.51990726741256e-05,9059.01727035012
"53461",580,452,454,2262,989,2653,1218,"v_3717",94,2.16811569065325e-05,9055.26500402904
"293958",189,127,104,873,328,484,239,"v_77",35,2.46968462127386e-05,9054.56696324908
"2072406",28,14,17,475,63,72,31,"v_1301",8,2.60132147130742e-05,9054.35465176265
"2564040",10,8,10,24,18,42,21,"v_5074",34,3.02233505606432e-05,9049.9059742381
"2488560",677,537,433,1735,1447,2316,960,"v_1111",64,2.16384645345566e-05,9025.2291503767
"1556",10,3,2,17,9,15,18,"v_4537",55,3.06504015202599e-05,9019.55479152355
"758793",286,219,247,726,584,928,516,"v_1065",72,2.42671325956125e-05,9016.62634695049
"1136535",1,0,4,1,0,4,1,"v_5866",10,2.25942746108136e-05,9013.73451684745
"468911",8,0,1,7,2,8,13,"v_4172",28,2.82071533340855e-05,9003.67702093906
"2708020",8,1,3,32,14,23,7,"v_2634",10,2.88176133252644e-05,8998.65324925701
"2072407",31,15,9,395,74,98,39,"v_1302",21,2.85314844931382e-05,8998.35974714759
"1275962",8,5,8,24,18,18,8,"v_43",12,2.72940662699929e-05,8981.37289721383
"1467",16,4,10,33,29,73,101,"v_3900",37,3.09827735778907e-05,8974.35274329878
"2640676",30,11,9,50,43,78,44,"v_745",52,3.22788896061976e-05,8973.91201264201
"1175631",8,1,0,22,15,36,13,"v_2102",63,3.09377223648795e-05,8965.9410433613
"2742676",14,6,7,40,32,47,20,"v_1771",33,3.08375477981991e-05,8960.94890205553
"1840297",0,1,0,1,0,4,1,"v_907",39,2.11403082256939e-05,8959.195798583
"316055",462,421,445,1786,736,1552,1117,"v_53",48,2.17879164215526e-05,8956.27980682052
"33910",849,736,2233,2581,1357,3300,2045,"v_3624",20,1.90389155433706e-05,8949.06698100111
"348824",265,211,158,1191,454,786,435,"v_73",38,2.43220235923629e-05,8947.45266316703
"1486262",240,184,164,959,449,808,403,"v_256",38,2.43220235923629e-05,8947.45266316703
"2566012",0,0,0,0,0,3,1,"v_6692",36,1.86581088140906e-05,8946.59382356053
"2734282",0,0,0,0,0,3,1,"v_6810",36,1.86581088140906e-05,8946.59382356053
"2560502",0,0,0,0,0,3,1,"v_6811",36,1.86581088140906e-05,8946.59382356053
"98383",0,0,0,0,0,3,1,"v_6942",36,1.86581088140906e-05,8946.59382356053
"2049890",0,0,0,0,0,3,1,"v_6963",36,1.86581088140906e-05,8946.59382356053
"66821",3,1,4,13,4,12,4,"v_2905",21,2.6111705877745e-05,8940.85718823727
"2161821",12,6,12,24,31,64,25,"v_4503",34,3.1108069433211e-05,8936.40416920923
"129921",527,343,322,1720,824,1916,1039,"v_3626",134,2.25810093711189e-05,8935.59709473033
"60548",216,143,250,570,447,683,396,"v_1030",65,2.50300360432519e-05,8935.13558275849
"1416803",413,292,209,1003,726,1097,621,"v_1098",73,2.36428976735389e-05,8921.54525543394
"1218315",5,5,3,46,8,15,10,"v_287",21,2.86508323066785e-05,8914.76984368265
"655015",357,280,256,1009,564,1279,692,"v_276",152,2.40876791521137e-05,8910.86555433975
"2686094",785,839,596,2828,1192,4167,810,"v_727",8,1.98708395429707e-05,8909.89787808023
"2666100",15,11,6,22,19,48,11,"v_1268",53,3.15676494728203e-05,8907.95483746849
"56455",144,89,91,1048,406,553,249,"v_1362",35,2.50381832294249e-05,8903.29826441956
"1579979",319,207,158,778,571,1071,382,"v_2193",155,2.51186857903594e-05,8900.37098013998
"595537",388,245,221,1559,888,1048,546,"v_853",81,2.25550342836521e-05,8898.91750251493
"1450746",2,0,0,2,1,0,2,"v_5953",24,2.12720697723889e-05,8894.07373193784
"278153",49,16,39,189,61,144,74,"v_152",6,2.64005491314219e-05,8886.18963580134
"2816950",481,289,212,1363,1242,1029,532,"v_925",50,2.27894257064722e-05,8885.87930210648
"1117319",2,1,1,7,3,15,2,"v_2484",12,2.62480970129666e-05,8876.6022519468
"1288",8,1,0,17,7,17,19,"v_4015",56,2.98828591919675e-05,8864.25801020569
"1816183",92,50,58,202,166,469,223,"v_5228",66,2.83784550769056e-05,8857.71359489382
"2714945",353,209,176,1982,956,774,280,"v_1395",82,2.28315714970661e-05,8854.76317039833
"66425",476,278,257,994,655,1631,921,"v_3247",156,2.34241409196318e-05,8846.8995850438
"391616",35,21,35,178,79,142,66,"v_578",8,2.63636603306003e-05,8838.84458426437
"1365176",7,4,2,4,4,18,5,"v_5434",26,2.81080473339517e-05,8836.1401079464
"582402",9,7,6,38,22,33,9,"v_742",26,3.04878048780488e-05,8833.30853219783
"482462",366,209,205,1030,561,1124,1414,"v_3365",152,2.36177700101556e-05,8829.93420299076
"1927",592,381,403,1282,955,2246,1268,"v_3218",137,2.20138246819002e-05,8827.73207148482
"2733866",2,3,0,13,3,4,4,"v_1727",26,2.59504346697807e-05,8826.47063024911
"1235827",82,40,39,263,155,200,110,"v_822",36,2.76625172890733e-05,8825.56699511031
"2107707",8,4,8,17,14,52,10,"v_5951",13,3.00580119630888e-05,8820.11978126524
"653940",1,0,0,2,0,1,1,"v_2757",40,2.01401756223314e-05,8806.16736965628
"2734083",1,0,0,2,0,1,1,"v_5813",40,2.01401756223314e-05,8806.16736965628
"2728835",328,232,144,1316,648,863,416,"v_4832",64,2.32606824684236e-05,8801.77910554543
"317658",1,4,1,12,8,10,9,"v_2936",24,2.76495147510161e-05,8793.1496637267
"2636053",657,457,440,1845,1069,2670,1288,"v_3653",135,2.17471674314421e-05,8787.14636075752
"2169636",3,0,0,5,0,1,2,"v_5597",15,2.2843567251462e-05,8786.82854360815
"29284",83,46,66,207,156,376,224,"v_5219",70,2.86689028410883e-05,8781.49130819368
"1717",27,9,8,70,29,74,34,"v_3481",16,3.11730415536644e-05,8778.80276839815
"1871021",21,7,13,53,42,91,46,"v_4382",35,3.12285303853601e-05,8777.64713021596
"2649488",911,739,532,4141,1467,2458,1221,"v_4823",8,1.96124578332157e-05,8771.66508356622
"28196",16,12,9,36,23,59,34,"v_2898",45,3.15806095057635e-05,8766.8369858764
"1108595",237,160,148,581,518,862,361,"v_1221",142,2.59882013565841e-05,8762.24315143293
"395598",68,42,28,230,95,183,76,"v_1624",34,2.96348980559507e-05,8760.89476460499
"29491",4,1,0,1,3,8,1,"v_2346",27,2.58939900049199e-05,8750.66743793315
"38301",32,13,10,76,37,91,42,"v_3478",39,3.20482004935423e-05,8749.32674974344
"1765049",74,50,36,222,191,232,130,"v_1210",59,3.02260911618909e-05,8739.98673954374
"333962",2,1,4,18,9,14,10,"v_2122",18,2.63137120753625e-05,8731.84541906606
"273526",1,1,3,10,3,11,3,"v_1942",12,2.52812539501959e-05,8727.56377583754
"2661553",26,23,21,80,42,75,26,"v_2244",31,3.05960102802595e-05,8724.51129108198
"2711215",456,297,339,1457,944,1389,479,"v_429",76,2.27816379997722e-05,8723.96938817702
"1743174",6,2,5,20,14,17,8,"v_1074",7,2.62957216860817e-05,8723.8516693163
"2048283",80,39,42,207,119,233,108,"v_633",26,2.94837397175458e-05,8721.3515855157
"266835",54,30,43,227,80,147,79,"v_165",11,2.71517784414879e-05,8720.35737239748
"2562522",0,1,0,0,0,3,1,"v_6642",40,2.04930630981413e-05,8711.40156338512
"202",3,0,0,4,1,17,2,"v_2886",22,2.59699787046175e-05,8695.66399481756
"1687",6,7,0,12,10,18,9,"v_3742",53,3.0218783996132e-05,8695.64123535483
"2785908",34,30,26,121,79,141,56,"v_634",46,3.07824909191652e-05,8694.45533714494
"2565914",2,0,0,10,1,3,1,"v_1776",21,2.29331498681344e-05,8693.51244414503
"2143",0,1,0,3,0,6,0,"v_4729",28,2.17315716272601e-05,8691.507037333
"2259340",237,143,114,979,412,769,381,"v_491",52,2.50959921700504e-05,8682.44146040808
"2792224",48,16,14,93,128,64,33,"v_914",37,2.9940119760479e-05,8681.88020469001
"413810",74,43,50,181,131,357,180,"v_5260",72,2.92680071413937e-05,8677.65255658415
"217159",4,1,1,27,5,17,13,"v_4325",35,2.84397929583073e-05,8667.73660796607
"56811",0,0,0,2,1,2,0,"v_1733",54,1.89264895147248e-05,8653.86037345416
"76629",0,0,0,2,1,2,0,"v_4705",54,1.89264895147248e-05,8653.86037345416
"1161927",0,0,0,2,1,2,0,"v_5746",54,1.89264895147248e-05,8653.86037345416
"1255043",396,318,180,811,647,1249,467,"v_2160",148,2.43938137288384e-05,8645.35541047928
"1804986",801,528,517,1874,1276,2900,1373,"v_3625",111,2.12341274897014e-05,8644.36069187225
"2234087",1,1,0,11,0,9,3,"v_5147",18,2.56844917039092e-05,8643.961015774
"1752398",373,255,157,1204,595,1126,1751,"v_109",27,2.2884342532839e-05,8628.48362485488
"365044",370,218,191,1287,1072,904,443,"v_909",82,2.29378842095605e-05,8622.38919875891
"1646498",5,0,2,18,6,6,4,"v_1674",11,2.56844917039092e-05,8621.97085576096
"2597701",372,262,217,1178,1048,1062,607,"v_891",54,2.34477583942975e-05,8607.88194533487
"405212",392,238,217,746,619,1224,669,"v_4003",167,2.43646906902517e-05,8607.27279231548
"48665",141,63,91,262,195,504,277,"v_3286",68,2.71650548734108e-05,8599.30899690582
"515256",0,1,0,2,1,1,1,"v_311",26,2.08159866777685e-05,8593.0010034665
"472825",0,1,0,2,1,1,1,"v_1922",26,2.08159866777685e-05,8593.0010034665
"2010829",425,341,413,1257,858,1320,638,"v_1415",84,2.2832614105989e-05,8592.59336832159
"1866325",22,16,18,150,85,101,37,"v_382",8,2.77777777777778e-05,8579.91286879069
"1891644",376,250,257,1103,571,1388,690,"v_3750",154,2.38817376352303e-05,8578.34846209315
"264691",0,0,0,0,2,1,4,"v_6180",31,2.13620439203623e-05,8573.23001042878
"2419774",297,160,180,1131,438,1027,558,"v_3028",41,2.35343955190511e-05,8566.68890863562
"1675686",1320,1008,691,2500,2299,5124,1709,"v_2552",32,1.94450385984016e-05,8559.16548420946
"2183911",302,227,194,676,484,1087,500,"v_2720",150,2.48212867355044e-05,8558.0000570683
"1859",525,370,414,1318,860,2199,1052,"v_3712",133,2.22890894906943e-05,8550.42735856505
"106370",431,303,352,1080,715,1689,815,"v_3714",158,2.32915637955932e-05,8548.5193194653
"367190",8,4,2,13,6,11,14,"v_1976",38,2.92525961679099e-05,8548.09147764212
"648757",355,259,216,1119,573,1181,693,"v_206",116,2.42136613477324e-05,8547.25836875297
"2662028",427,261,270,1238,647,1511,759,"v_3547",172,2.35926957014108e-05,8542.64618680792
"2822132",4,1,0,4,1,13,0,"v_1871",23,2.5704958486492e-05,8537.83051064161
"2059264",2,6,2,18,7,29,6,"v_2413",40,2.96103280824352e-05,8535.2218347029
"1636609",10,3,7,13,15,17,13,"v_2340",20,2.77046682365979e-05,8525.45737660593
"45065",34,21,12,49,48,67,50,"v_2641",21,3.09453814018258e-05,8516.71569012563
"671135",2,1,3,4,0,3,0,"v_1400",6,2.12363821699335e-05,8510.89234426426
"2162",2,8,1,9,3,21,7,"v_5365",42,2.96903298595647e-05,8508.51625020695
"82985",9,3,6,28,10,25,14,"v_2156",13,2.65576034418654e-05,8507.46483822431
"2079792",149,83,84,422,192,439,198,"v_3042",47,2.73336066694e-05,8506.40171430213
"60550",196,113,125,426,285,590,304,"v_951",80,2.66887293495957e-05,8503.1000143453
"411684",211,126,87,761,352,637,319,"v_176",48,2.54945951458291e-05,8501.63081180683
"2709380",838,666,591,2439,1355,2772,1562,"v_242",75,2.08263912029324e-05,8480.60414385691
"1323664",119,86,413,304,207,378,178,"v_1018",36,2.60933096753992e-05,8479.81992232381
"47960",310,244,162,740,622,1180,464,"v_2197",156,2.4817590708294e-05,8455.44385746405
"149016",1,2,0,2,0,8,4,"v_4225",33,2.48102019550439e-05,8444.51930015806
"85402",2,4,1,17,15,13,9,"v_2739",26,2.83494925440835e-05,8437.32715793395
"271420",226,50,46,305,234,320,123,"v_1561",55,2.74190452688437e-05,8434.72298854682
"29430",7,1,1,24,5,18,13,"v_1702",34,2.870428842069e-05,8419.86663597917
"1325111",371,328,434,1305,578,1134,1381,"v_13",51,2.20283725438365e-05,8411.93449151881
"1368430",245,100,78,1544,288,465,261,"v_71",19,2.44792049154243e-05,8404.57269285883
"279058",240,147,126,965,458,698,351,"v_827",82,2.41586741719614e-05,8404.42015276456
"326454",3,2,1,6,8,9,2,"v_979",25,2.71164379847063e-05,8394.62908088183
"2560833",0,0,1,0,2,1,0,"v_6315",26,1.97226988541112e-05,8392.10021518788
"1417228",173,95,151,436,283,458,280,"v_1020",17,2.47837616793477e-05,8388.65945418728
"1881383",3,0,0,1,3,1,1,"v_5857",25,2.26783081982084e-05,8385.28054322489
"356851",587,426,744,1947,1213,2088,1058,"v_3594",59,2.14270409256482e-05,8376.611206553
"2635759",153,74,43,212,238,364,140,"v_4658",50,2.80875207145465e-05,8364.93933228274
"199592",15,14,11,84,19,74,38,"v_2994",14,3.08318431275822e-05,8364.07235855466
"1242245",1,0,0,2,0,2,0,"v_1698",67,1.96013093674657e-05,8358.88884777169
"2785630",1,0,0,2,0,2,0,"v_1963",67,1.96013093674657e-05,8358.88884777169
"2734213",1,0,0,2,0,2,0,"v_5662",67,1.96013093674657e-05,8358.88884777169
"2169655",1,0,0,2,0,2,0,"v_5679",67,1.96013093674657e-05,8358.88884777169
"1133546",461,266,261,1386,687,1535,898,"v_3168",177,2.33040479131225e-05,8356.44710659616
"33962",0,3,1,14,2,9,11,"v_4124",27,2.73545422217359e-05,8353.20519291761
"279238",463,284,320,1536,1024,1338,496,"v_424",81,2.27391591058963e-05,8351.88262894673
"45361",1,1,0,0,1,3,6,"v_6188",24,2.39417736065888e-05,8340.7383655405
"221027",1,2,1,5,5,6,3,"v_5052",27,2.5993605573029e-05,8334.65620842006
"2161872",3,2,1,17,22,10,5,"v_2510",19,2.7955606496883e-05,8334.64901245981
"2560029",6,2,2,24,7,21,14,"v_2335",54,2.97565910849253e-05,8334.40470100847
"2621923",89,44,61,245,155,409,184,"v_5279",65,2.83519038303422e-05,8324.31440650701
"1784719",263,134,142,778,449,875,486,"v_3019",22,2.50075022506752e-05,8319.2806404872
"1549858",696,395,478,1964,1285,2050,695,"v_369",58,2.16211541372078e-05,8305.66208547073
"1926494",437,327,469,1063,876,1308,601,"v_1012",86,2.25748922048897e-05,8303.4409968856
"2637378",379,247,187,728,588,1197,655,"v_4487",121,2.44857982370225e-05,8300.81827426236
"1517554",417,264,329,1362,842,1106,461,"v_346",63,2.26111337222448e-05,8295.04555341118
"1094714",0,0,0,4,3,3,0,"v_2656",33,2.14758182286745e-05,8289.24366349318
"252356",32,15,13,156,49,92,46,"v_4896",17,2.97681064507487e-05,8285.80009289339
"556288",272,158,142,1320,420,963,484,"v_3143",34,2.37450728973738e-05,8282.92816839857
"418701",38,23,37,127,68,118,78,"v_2288",41,2.95787979176526e-05,8282.4982474312
"181486",16,6,2,18,10,26,20,"v_5424",45,3.09875739828329e-05,8282.4534268458
"2628296",13,11,9,38,35,87,131,"v_3897",39,3.14584119793633e-05,8281.13469208377
"2622462",0,1,0,7,6,6,0,"v_4460",10,2.46779527170426e-05,8274.31496072309
"530584",630,267,259,1150,825,1813,889,"v_3654",28,2.26280180119023e-05,8273.74082801954
"1338368",28,19,13,65,36,73,124,"v_3963",33,3.11448860097172e-05,8272.61461379485
"186189",342,207,211,1148,575,1244,762,"v_3130",102,2.38413122258249e-05,8271.87835738889
"200450",172,31,39,220,207,329,130,"v_1570",29,2.74634735801384e-05,8259.53661804665
"2661583",1,1,1,8,4,2,9,"v_1294",11,2.38788862887435e-05,8256.47854409644
"1286",4,0,1,14,3,14,19,"v_4018",52,2.9140076347e-05,8253.26381038055
"2645312",590,391,435,1590,918,2288,1291,"v_3524",134,2.18875853615829e-05,8249.33134131547
"349163",54,39,54,153,93,181,126,"v_661",38,2.87323296172854e-05,8244.22872493182
"857087",38,39,30,125,103,164,68,"v_2540",45,3.0717247734603e-05,8236.60637782074
"39689",256,112,101,1954,436,719,597,"v_3362",23,2.25052887428546e-05,8235.26865332027
"2898",6,5,1,24,8,8,15,"v_5212",22,2.87133545812157e-05,8226.85009165778
"538381",754,512,387,2091,1221,2692,1189,"v_263",66,2.14910489781006e-05,8223.67567852755
"2185142",100,54,72,412,188,275,93,"v_455",20,2.49289524854166e-05,8223.1384092125
"1089121",1,1,0,0,1,0,3,"v_6231",17,2.15026018148196e-05,8219.97014362925
"68210",794,334,398,1322,799,2024,1406,"v_3217",58,2.15489376373745e-05,8213.64734255134
"1217721",287,203,304,956,559,816,421,"v_1410",52,2.35122616444476e-05,8213.43416233205
"2744515",51,30,35,213,75,130,89,"v_151",5,2.426301103967e-05,8205.24749048541
"434131",1,0,1,1,3,2,1,"v_761",12,2.12318732881802e-05,8202.45533042838
"2488810",6,4,6,19,10,37,15,"v_4310",25,2.99904030710173e-05,8197.88580959965
"1912795",9,9,6,36,25,49,10,"v_3708",34,3.10838954337758e-05,8187.29378896704
"85643",643,505,336,1336,1456,2101,957,"v_1201",77,2.19910716249203e-05,8176.32269112469
"2631981",2608,2117,2609,8435,4286,9733,5311,"v_3612",7,1.60511067238086e-05,8170.19249986097
"2587854",28,20,11,86,31,128,34,"v_268",30,3.12148832563366e-05,8167.30071826309
"2749086",123,91,112,355,202,506,212,"v_738",85,2.7411529289219e-05,8162.90332051973
"1250539",263,172,150,840,473,1071,430,"v_565",46,2.53556124648191e-05,8161.97773684324
"339617",17,10,7,38,19,47,30,"v_2479",47,3.15716360421797e-05,8160.97885244224
"2601677",957,502,292,1286,1335,2733,1472,"v_4656",41,2.13606749973299e-05,8156.63713995933
"881",395,245,197,886,639,1325,602,"v_2790",144,2.43385985834936e-05,8154.13700872455
"1855331",16,3,3,13,15,23,7,"v_1530",37,3.08137922534126e-05,8140.01323771286
"932677",0,0,0,4,2,1,2,"v_2019",30,2.14491012826563e-05,8137.14300966727
"128780",432,210,178,3024,1145,1144,469,"v_1319",55,2.1636591804059e-05,8136.34798811386
"1290",8,4,2,15,10,17,25,"v_4017",53,3.08603876064683e-05,8133.98155236222
"1444684",7,3,2,18,49,35,18,"v_1161",47,3.11225918894526e-05,8133.14294702647
"2733300",2,1,2,5,4,22,1,"v_5982",11,2.66994179526886e-05,8121.54967975795
"432329",235,148,115,470,350,728,316,"v_4549",145,2.66198157908747e-05,8115.61932308484
"630515",436,315,323,1323,687,1847,835,"v_3556",148,2.31535077564251e-05,8097.82421250964
"2714943",2027,1046,1438,4547,3905,4822,1101,"v_331",17,1.80877618203524e-05,8095.28339944511
"571",73,34,38,187,103,205,84,"v_1795",29,3.02920150248395e-05,8089.7204760318
"637390",23,26,9,65,59,81,53,"v_2955",46,3.15716360421797e-05,8089.27144540267
"340345",327,256,230,985,517,1299,632,"v_3646",174,2.43439310579872e-05,8083.24611765317
"1413",10,7,12,15,13,38,70,"v_3827",33,3.08052492144661e-05,8080.8024067004
"2565555",494,271,368,1311,930,1258,529,"v_347",70,2.260500022605e-05,8078.40970501992
"1204360",3,0,3,21,4,6,5,"v_4935",11,2.51218409285032e-05,8073.12347707649
"1176536",306,192,212,1251,747,942,295,"v_425",65,2.30149597238205e-05,8071.59757941583
"501783",7,0,2,49,6,8,12,"v_4885",7,2.60267555046588e-05,8069.29621909505
"2734145",0,0,2,0,3,0,0,"v_6314",5,2.03194213028813e-05,8069.03980628746
"2575375",48,24,25,114,63,131,56,"v_2008",42,3.15706393054459e-05,8060.63403366329
"1792",350,205,164,1411,583,1221,776,"v_3323",36,2.32304225613864e-05,8055.95801843689
"1223567",3,0,6,1,2,6,3,"v_2081",8,2.43955990339343e-05,8053.56729948351
"1838286",813,612,388,1998,1265,2489,992,"v_4825",50,2.14174037823135e-05,8037.55713810504
"2740404",0,2,2,3,4,5,2,"v_2940",25,2.43415607808773e-05,8031.97324939753
"321985",394,245,219,6027,744,1102,616,"v_797",72,2.14873546917639e-05,8026.9616194013
"126673",222,105,114,632,339,615,551,"v_3347",25,2.50287831005657e-05,8009.10261025231
"66871",549,252,296,1019,679,1673,1032,"v_3240",97,2.26551880380607e-05,8004.13686010041
"1298851",20,10,20,24,40,55,20,"v_5141",16,2.99419126893826e-05,8003.39381071373
"48076",44,31,22,137,85,122,46,"v_2264",46,3.09262409154167e-05,7998.80757770715
"1842540",714,325,260,1082,1565,1342,626,"v_1168",40,2.22405088628428e-05,7995.42054368382
"2715959",790,279,270,3174,922,1511,914,"v_112",14,2.07499014379682e-05,7984.277121356
"2277",3,1,2,1,7,10,6,"v_5426",22,2.77254075634912e-05,7974.37885192033
"28453",187,104,164,5390,705,476,217,"v_4959",15,2.16076058772688e-05,7968.91603593438
"709810",348,191,296,962,607,1096,552,"v_608",62,2.40760804141086e-05,7968.71984940842
"1853276",11,7,5,37,25,35,21,"v_1244",40,3.17651917029319e-05,7963.40708541839
"766224",2,1,1,3,3,6,4,"v_2564",19,2.6395671109938e-05,7963.15843390779
"2589080",352,212,300,1140,690,951,486,"v_1413",61,2.30038416415541e-05,7957.56217308489
"1441467",732,531,471,1791,1225,2616,1099,"v_630",88,2.15377988369589e-05,7950.26950416546
"1842535",130,81,103,377,302,433,139,"v_438",35,2.64207772992681e-05,7949.65900765547
"984991",1,1,1,0,0,2,3,"v_6472",17,2.18923770743027e-05,7940.73072561425
"280236",525,350,399,1316,804,1961,1196,"v_3669",120,2.21351572702924e-05,7924.71146700215
"460265",1019,660,532,2707,1642,3098,2194,"v_224",25,2.00831442170586e-05,7919.25880913156
"2703788",219,175,650,557,358,768,441,"v_5019",76,2.41493395155642e-05,7915.03658071753
"79209",8,8,3,79,12,23,30,"v_4362",16,2.86615075952995e-05,7909.78664583719
"266",317,168,124,1234,510,953,393,"v_487",34,2.36893847866771e-05,7908.59741647695
"1737425",78,35,60,240,134,295,142,"v_3450",42,2.86000286000286e-05,7905.96897768375
"282217",240,169,176,861,578,760,356,"v_845",79,2.43178833714314e-05,7899.33154572349
"266265",201,119,172,542,311,582,283,"v_1032",46,2.6128762541806e-05,7897.92292588452
"2599805",28,22,35,117,44,85,94,"v_17",10,2.82981493010357e-05,7895.99485629856
"151783",372,292,305,1088,839,1321,664,"v_1002",98,2.33590282644242e-05,7893.65655984666
"10358",5,8,1,5,7,16,7,"v_5937",44,2.98027060857126e-05,7871.83463694341
"264462",6,2,1,2,9,3,7,"v_2960",16,2.70496902810463e-05,7870.66182738807
"33034",4,2,1,9,6,7,6,"v_4529",25,2.70146149066645e-05,7863.64280189002
"758802",677,366,336,1981,1041,2204,2061,"v_3314",40,2.13880868356326e-05,7859.05314292914
"151081",4,0,1,11,3,5,3,"v_2492",19,2.5756600128783e-05,7843.22073107309
"1389004",65,42,38,230,120,220,101,"v_510",46,2.99329501915709e-05,7842.47589967146
"2675787",0,1,0,3,1,2,1,"v_1927",41,2.15507952243438e-05,7840.09844315154
"2732982",0,1,0,3,1,2,1,"v_5774",41,2.15507952243438e-05,7840.09844315154
"683042",44,26,37,150,75,129,120,"v_3024",19,2.90031613445866e-05,7839.90441168267
"1379908",124,99,62,2351,209,419,136,"v_4854",31,2.51800372664552e-05,7834.82763670482
"68278",843,228,230,1135,563,1383,1485,"v_3231",53,2.21513379408116e-05,7834.43772874954
"5820",173,80,106,454,283,680,325,"v_5203",63,2.64103105852525e-05,7806.17842573334
"1935",40,16,26,86,49,89,43,"v_3297",12,2.97627905592428e-05,7804.43695968764
"2697371",0,1,0,5,1,2,1,"v_1798",39,2.20970058557066e-05,7801.9551553106
"207340",93,55,46,218,138,263,167,"v_649",86,2.94628914881706e-05,7797.29646629395
"2708562",20,0,0,11,20,0,4,"v_5844",2,2.58204446280565e-05,7795.45002598023
"713585",305,248,148,741,570,1070,445,"v_2162",161,2.50350490686962e-05,7791.90937549587
"1246301",463,258,236,2026,1042,1209,605,"v_852",81,2.22662599363185e-05,7789.61068048147
"57705",5,1,4,12,5,10,5,"v_5249",11,2.55303939339784e-05,7788.36224965584
"869806",15,7,5,51,25,26,10,"v_4877",15,2.92800046848007e-05,7781.60578212808
"283168",6,5,8,35,9,32,12,"v_4982",12,2.83237976547896e-05,7779.86823890042
"2649073",0,0,1,2,3,3,1,"v_3671",17,2.10495295430147e-05,7779.58458111966
"2004644",3,0,0,5,3,3,3,"v_1685",28,2.4661520629362e-05,7779.24237125361
"1866",1254,1122,825,5344,1924,3833,3235,"v_3609",8,1.77758816837315e-05,7776.89165317225
