"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2764326",1.98416241559869e-06,6.08727772789592e-06,1.66461502864386e-06,1.30648079799847e-05,5.71876922936153e-06,5.12347795346089e-06,"v_4394",52,3.04812997226202e-05,7613.89276080387
"1603555",5.95248724679607e-06,1.46648054353856e-05,6.65846011457545e-06,1.95972119699771e-05,4.57501538348923e-06,5.12347795346089e-06,"v_4455",52,3.29088096883536e-05,5459.73660988561
"2560591",1.98416241559869e-06,5.53388884354174e-07,8.32307514321932e-07,0,3.81251281957436e-07,8.53912992243481e-07,"v_4673",52,2.33967384946538e-05,2994.34376525005
"1007869",1.98416241559869e-06,1.38347221088544e-06,2.91307630012676e-06,0,3.81251281957436e-06,2.1347824806087e-06,"v_4690",52,3.00553017552296e-05,11956.697391384
"1349410",1.19049744935921e-05,1.24512498979689e-05,8.32307514321932e-06,6.53240398999236e-06,1.10562871767656e-05,1.02469559069218e-05,"v_4725",52,3.487358326068e-05,16213.3446633284
"2675778",0,2.76694442177087e-07,0,0,3.81251281957436e-07,8.53912992243481e-07,"v_4962",52,2.04565911136568e-05,8456.47892834555
"2479547",0,9.40761103402096e-06,7.90692138605835e-06,0,8.76877948502102e-06,7.25826043406959e-06,"v_4997",52,3.410524879779e-05,11993.8183743608
"2575361",0,2.76694442177087e-07,0,0,3.81251281957436e-07,8.53912992243481e-07,"v_5087",52,2.13137814911122e-05,2116.70731788251
"44001",0,2.76694442177087e-06,1.66461502864386e-06,0,7.62502563914871e-07,8.53912992243481e-07,"v_5437",52,2.72836407290189e-05,2677.72204079112
"65123",0,8.30083326531262e-07,4.16153757160966e-07,0,7.62502563914871e-07,8.53912992243481e-07,"v_5473",52,2.52652854977261e-05,23591.2900912069
"216938",0,5.53388884354174e-07,0,0,1.14375384587231e-06,1.28086948836522e-06,"v_5519",52,2.24719101123596e-05,6810.20426278292
"1982151",0,2.76694442177087e-07,1.2484612714829e-06,0,3.81251281957436e-07,8.53912992243481e-07,"v_5918",52,2.2486564277844e-05,5151.41955724739
"2731677",0,5.53388884354174e-07,0,0,3.81251281957436e-07,1.28086948836522e-06,"v_6071",52,2.16811569065325e-05,10569.2065667897
"999883",0,8.30083326531262e-07,0,0,7.62502563914871e-07,4.26956496121741e-07,"v_6155",52,2.09296971472823e-05,88923.2351150393
"2560076",0,2.76694442177087e-07,0,0,3.81251281957436e-07,8.53912992243481e-07,"v_6232",52,2.04565911136568e-05,8456.47892834555
