"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2527972",0.000454386479534275,0.000198234392345509,0.000435799846530093,0.000266161863817267,0.00028785043577943,0.000224546721219267,0.000290607275208223,0.000340111450523668,0.000421019733904813,0.000554425295831282,0.000361042626796563,0.00040061130976359,0.000274005084902056,0.00023441993532552,0.000233608203368791,0.00030378193589664,0.000238759232163761,0.000290227581751152,"v_4828",94,5.68149536958127e-05,2659.49330993389
"2583231",0.000113103028114987,8.81041743757819e-05,0.000102968395111522,9.0317136308173e-05,7.83897233601376e-05,7.13057635430018e-05,7.2847645806913e-05,9.65970434116099e-05,8.21501919814269e-05,8.90859878876801e-05,7.23483288934061e-05,7.55032401993463e-05,8.34310354669723e-05,6.55104720200618e-05,8.132173910375e-05,9.34025009191045e-05,6.82649635623146e-05,8.47426308955066e-05,"v_145",9,4.81486831335163e-05,2659.25639172479
"29303",0.000539002211291123,0.000548448485489242,0.000530223146611613,0.000647500883785109,0.000628382137257877,0.000717486564842627,0.000717118491787407,0.000544537751697075,0.000884007500669703,0.000599643183622756,0.000564806277737895,0.000575157035636197,0.000489169334264248,0.000677593389700043,0.000451105496160425,0.000574738711725863,0.000672224936754025,0.00054700412499092,"v_3037",84,4.79179644448704e-05,2657.29380297091
"1843368",0.000196026445236698,0.000328188049549788,0.000220890706525547,0.000185195744147062,0.000176587602623106,0.000189558178859657,0.000158619873934407,0.000199034838285317,0.000194660237521207,0.000220015394328665,0.000218792530856388,0.000216738713042829,0.000238876227863331,0.000175264956859643,0.000292681542151704,0.0002226142673663,0.000206476293730351,0.000251360660814115,"v_383",17,4.33219252263571e-05,2657.19161267478
"107637",2.84872963581389e-05,2.422864795334e-05,2.94805778535063e-05,2.16669897709001e-05,1.64365548980934e-05,2.39162188280876e-05,2.54575106314481e-05,3.10009116065167e-05,2.81275113849451e-05,3.84689493151346e-05,2.44656184663692e-05,2.57599290091887e-05,2.0638203510251e-05,2.17553433200952e-05,1.6110910577158e-05,3.01394651528101e-05,2.8583851737915e-05,2.4212180255859e-05,"v_2528",18,5.96480763495377e-05,2651.01523658435
"2528027",0.000181077665959655,0.0001211432397667,0.000166629353085036,0.000113124493961752,0.000126013587552049,0.000108065877667655,0.000129637477215528,0.000154555269458576,0.000182159121350121,0.00018930772426132,0.000178948523639729,0.000165662991731507,0.000126902996052395,0.000107310064241818,0.000108940442950307,0.000137865672283151,0.000144600661732982,0.000163750798046204,"v_4864",109,6.33031588276255e-05,2644.4735128164
"314285",7.24874768717e-05,2.64312523127346e-05,6.49427222280139e-05,4.05970966233707e-05,4.08806621824373e-05,4.20748294197837e-05,5.0131713243467e-05,5.84075146209734e-05,5.26832752924368e-05,7.12013009253807e-05,4.47371309099323e-05,4.44136707054978e-05,4.56675141503427e-05,4.15551501619795e-05,4.41132075326946e-05,5.72948248449459e-05,4.33801985198945e-05,5.41588242565268e-05,"v_2572",27,6.25782227784731e-05,2627.9969481018
"499229",7.89746829730583e-06,4.4052087187891e-06,8.11784027850174e-06,7.75450160221688e-06,5.90030175828992e-06,7.52918000143497e-06,8.22473420400631e-06,8.53648290614227e-06,8.03643182427002e-06,9.11106694305819e-06,1.32813357388861e-05,8.43859743404459e-06,7.02577140774503e-06,5.13328325530335e-06,8.43904839755897e-06,4.77456873707882e-06,5.716770347583e-06,1.27432527662416e-05,"v_4521",4,3.88470204335328e-05,2624.91700725453
"216929",0.000339309084344961,0.00031937763211221,0.000330695177661071,0.000366742311069551,0.000362447108009238,0.000366272462422748,0.000368154769131711,0.000305516230325092,0.000281721582284132,0.00028952946063496,0.000292538895090729,0.00031489292530198,0.000275761527753993,0.000291130493193633,0.000239362100003491,0.000363464045110125,0.000295590655030909,0.000302015090559926,"v_3365",128,5.44069640914037e-05,2615.84673957359
"1917421",2.98975585540864e-05,2.20260435939455e-05,2.73443040960059e-05,1.89301068524706e-05,2.82371584146732e-05,2.08159682392614e-05,2.46742026120189e-05,3.32473544765541e-05,2.36628270381284e-05,3.4419586229331e-05,2.62131626425384e-05,2.57599290091887e-05,2.23946463621873e-05,2.98219312927147e-05,2.33991796477771e-05,3.90917815348329e-05,2.55573262597828e-05,2.83537374048875e-05,"v_2277",8,5.79575750550597e-05,2614.2479209392
"28894",0.000295026851392211,0.00038765836725344,0.000323431846885569,0.000482603687949733,0.000362025657883646,0.000345013601242226,0.000386562507588296,0.000275863184440598,0.000406732743995,0.000315512873768867,0.000317354022392332,0.000296239183605671,0.000277957081318913,0.000436573518760561,0.000282324528209245,0.000299902598797764,0.000378988245983885,0.000261555263027109,"v_3096",73,5.10438466642846e-05,2614.06626012287
"1549858",0.00040136062096665,0.000436115663160121,0.000423836713488091,0.000401409494702991,0.000453058885011548,0.000535457565984405,0.000403795284015738,0.000589915897671831,0.000494687025627288,0.000459602710238713,0.000634009027114196,0.00060757901525121,0.000742975326369037,0.000514550535829217,0.000533961607700095,0.000643671547867439,0.00057403099901907,0.000583003814055553,"v_371",38,4.69858572569657e-05,2606.3225314983
"1325107",0.000608105058892549,0.000574879737801977,0.000681471328642646,0.000396848023172275,0.000329573998213051,0.000794107043680759,0.000403011975996309,0.000817705204693628,0.000341994820966158,0.000361405655407975,0.000351256379410015,0.000392172712329546,0.000346019241831443,0.000354685428735484,0.000456475799686144,0.000799740263460703,0.00047482821945807,0.000449836822648328,"v_32",28,4.69241236919901e-05,2603.26416458883
"1104324",1.12820975675798e-05,4.4052087187891e-06,9.39960453300201e-06,1.23159731329327e-05,1.2222053642172e-05,8.85785882521762e-06,1.33162363302959e-05,7.63790575812729e-06,1.02687739976784e-05,1.61974523432146e-05,1.11842827274831e-05,1.06592809693195e-05,7.4648821207291e-06,5.13328325530335e-06,6.90467596163915e-06,1.04443691123599e-05,7.73445399967112e-06,1.01946022129933e-05,"v_5468",5,4.63520904792806e-05,2599.64053297614
"1800",0.000352565548986868,0.000284135962361897,0.000342231055951573,0.000342566511956757,0.000370033210269897,0.000346342280066009,0.00037833777338429,0.000312704847509212,0.000278596303241361,0.000286829885244425,0.000313858934039994,0.000320666702493694,0.000248097552835997,0.000282819463161237,0.000259692534779428,0.000282296376579785,0.000346369026941794,0.000351713776348268,"v_3363",132,5.40365286933967e-05,2591.84554914615
"2698682",0.000242565097702965,0.000240083875174006,0.00018756483590854,0.000214389161943643,0.000347274903487921,0.000367601141246531,0.000318414709897958,0.000367068764964118,0.000265648718635592,0.000258146896719982,0.000330984866966452,0.000296239183605671,0.000586212801833726,0.000354440986675708,0.000349836915389717,0.000373610003676418,0.000332245241377177,0.0004826506985214,"v_1638",36,4.30589045814675e-05,2591.82210040606
"120107",0.000213231644027258,0.000361227114940706,0.000218327178016547,0.000196371349397316,0.000230954668824491,0.000256877905931311,0.000187993924663001,0.000285747533068762,0.000259844628984731,0.000260509025186701,0.000282053630033714,0.000268258571061207,0.000306499277662877,0.000227819999711558,0.000356357998242376,0.000299902598797764,0.000267679364510357,0.00032017422575182,"v_394",30,4.10694484373075e-05,2585.4086608711
"2282738",0.000399950358770703,0.00038765836725344,0.000438790629790594,0.000449304945775507,0.00048298184392859,0.000461937337735099,0.000498575554366668,0.000414693353808911,0.000587998928475757,0.0004633146264007,0.000461351662508677,0.000429036059015109,0.000412764070205021,0.000609882939141994,0.000360193929332176,0.000426130259784285,0.000473146816414664,0.000385164814859652,"v_3059",124,5.14880032952322e-05,2585.22500271674
"42197",0.000309693578230065,0.000288541171080686,0.000290960485771562,0.000368566899681837,0.000394898767679833,0.000360514854186357,0.000390479047685442,0.000319893464693331,0.000312081435842486,0.000357693739245988,0.000340072096682532,0.000284691629222241,0.000266101092068343,0.00030873032149753,0.000205989499522235,0.000272150418013493,0.00030332510903058,0.000255502217963144,"v_3629",185,5.5041831792162e-05,2575.77579988809
