"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"2789216",2386,196,2223,1638,1319,964,4417,593
"2712222",7105,389,3562,4473,3534,1187,49218,692
"1235591",6772,332,3933,3627,4704,1554,14226,1173
"1482074",2216,160,1961,1417,1423,965,4113,575
"573658",19,4,23,22,31,18,57,6
"134",1471,101,1171,951,866,542,2167,294
"173366",1463,154,1139,1084,739,583,2010,272
"655015",1432,78,1284,1006,729,519,1834,290
"391905",1304,100,1177,922,712,420,1647,266
"187303",820,59,692,562,444,329,1208,179
"595536",1946,153,1651,1164,1008,666,2344,331
"2699395",1555,108,1304,1021,808,640,1985,302
"1349819",1831,171,1908,1187,1249,794,3748,646
"2758041",1467,143,1488,1018,1182,720,3007,545
"2816454",1351,115,1351,944,957,588,2782,456
"1638161",4,0,5,5,2,1,3,3
"1701758",1627,150,1607,1008,1107,788,3093,583
"686597",499,59,551,315,366,284,1644,208
"1122214",951,79,908,590,626,487,2325,360
"1486262",915,70,842,629,620,429,2437,362
"2583532",503,49,430,300,359,280,1721,208
"538381",2623,229,2579,1694,1754,1140,4688,771
"1881061",1541,96,1251,1021,916,589,2515,438
"2021862",900,70,709,533,496,354,1509,243
"2590016",380,30,327,258,204,134,724,91
"2587861",370,32,300,289,217,165,655,106
"2587854",94,16,90,61,59,44,171,26
"1674922",66,9,66,57,54,33,207,18
"244592",454,32,417,297,289,168,883,144
"187304",112,14,124,79,84,37,227,30
"1402210",284,51,393,162,214,150,1340,165
"911045",257,14,205,162,163,115,448,57
"1702325",2763,238,2770,1710,1650,1241,4809,757
"444444",1598,139,1585,1064,928,720,2725,388
"395965",1382,100,1127,934,801,489,2083,278
"227605",1235,94,1041,826,615,486,1858,240
"569860",1378,79,992,886,604,436,1931,224
"31994",662,45,545,432,332,272,1101,155
"402881",1539,112,1248,1080,894,595,2813,407
"1712261",1060,84,878,695,665,395,1625,245
"1458461",494,25,393,330,266,183,799,101
"94625",505,57,729,342,796,246,9555,1941
"2632610",303,35,272,184,278,144,1480,150
"271865",224,44,238,165,214,115,882,116
"529",165,18,188,115,474,140,1585,423
"419475",95,419,107,71,65,46,384,52
"571256",90,515,104,54,68,56,321,47
"1218315",31,6,13,10,61,8,133,82
"29459",22,2,23,13,12,5,53,5
"235",10,0,3,2,6,2,6,0
"236",6,2,7,7,2,6,8,1
"29461",4,0,7,6,3,2,35,1
"120577",4,0,2,4,5,0,2,0
"36855",1,1,1,1,0,1,3,0
"120576",1,0,0,1,1,2,13,4
"444163",1,0,1,3,1,0,2,1
"239106",90,9,91,63,97,38,403,60
"2304600",2218,171,1714,1374,1313,798,3496,549
"1798205",416,27,348,303,244,189,773,123
"2528642",1355,85,1217,919,740,527,1923,267
"1686310",118,12,94,65,129,48,383,49
"2759660",25,1,26,15,15,9,100,9
"515256",6,0,7,6,1,0,3,0
"1933904",6,2,5,5,3,4,6,4
"1933910",1,0,0,0,0,0,0,0
"40933",3,0,8,5,1,0,12,1
"2267275",15,0,5,6,10,4,16,1
"1094489",15,1,13,15,4,7,28,6
"52764",12,2,5,6,10,4,8,1
"634504",11,1,7,5,4,4,26,0
"1225179",1,0,0,1,0,0,0,0
"687861",10,0,5,3,5,0,34,1
"774",10,2,9,10,13,4,28,2
"1095900",7,0,5,2,4,2,16,0
"1318743",7,1,4,7,7,5,25,5
"1094491",6,2,7,6,4,1,12,0
"38323",6,0,5,5,2,0,16,0
"85701",4,0,8,6,3,0,21,2
"696125",3,0,3,2,1,0,31,0
"2133959",3,0,2,1,3,0,16,0
"807",1,0,5,1,1,1,13,1
"2764186",2401,587,5717,1938,5284,2920,3965,1161
"2714944",2318,606,5649,1816,4842,2799,3852,1134
"2681549",2161,292,2900,1524,2243,1727,4610,991
"2714942",2093,559,4843,1504,3239,1823,2549,747
"2714943",1941,520,4260,1446,3516,2207,3193,998
"2653203",1859,241,2214,1214,1881,1265,4572,816
"745310",1660,220,2210,1113,2004,1434,4278,925
"1327635",1543,221,2031,1041,1919,1184,3772,753
"2735134",1494,189,1822,1092,1405,1088,3120,554
"2698679",1494,205,2119,1072,1718,1101,3352,732
"1938607",1436,211,1803,1020,1791,1163,3185,679
"2492837",1412,161,1707,992,1527,1107,3228,561
"2596913",1409,199,1770,972,1338,937,2887,528
"2711156",1330,178,1607,895,1302,952,2956,591
"1523415",1330,173,1591,912,1231,842,2775,455
"2219696",1236,165,1577,872,1248,881,3453,449
"2599297",1227,149,1521,736,1256,898,3130,599
"2565555",984,116,1203,654,934,692,2032,391
