"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"1029756",2066,2277,1455,532,1803,1201,927,1144,1885,971,1158
"717785",1081,1055,713,280,1940,762,468,614,974,554,686
"2233851",2470,1955,1492,536,2515,1606,1254,1305,1975,1309,1574
"1079",2146,1743,1216,453,2076,1388,1137,1204,1641,1155,1382
"1384459",1051,831,776,372,1019,772,509,637,917,544,674
"2170729",996,723,760,373,1000,651,496,614,907,501,677
"2742204",1542,1256,1163,548,1462,1134,829,976,1350,886,1036
"2820278",1681,1278,1116,411,1725,1104,949,878,1278,981,1165
"648757",1114,1065,791,307,1223,800,658,724,1013,709,856
"1447062",1473,931,1834,1243,1667,876,827,789,1109,803,885
"1082931",0,0,0,0,0,0,0,0,0,0,0
"1608628",587,502,631,310,527,357,301,303,451,317,380
"1219035",492,383,360,174,588,324,277,284,431,246,401
"1335043",503,337,743,559,661,312,317,293,398,280,349
"454601",139,135,98,59,169,103,84,83,160,92,91
"331696",4444,4933,3509,955,11560,5047,2385,2391,3547,2438,2960
"2562284",3756,3566,8838,1630,19402,10738,1985,1829,2787,1808,2300
"2709380",3256,2410,1888,698,3010,1814,1603,1467,2165,1769,2012
"639283",2810,1954,4484,1111,2722,1597,1524,1448,2173,1434,2048
"1850374",2007,1512,1389,507,1896,1228,1140,1049,1548,1192,1410
"1745854",1597,1196,1050,399,1504,994,902,837,1293,936,1112
"2528964",2826,2132,1775,646,2873,1758,1581,1517,2281,1690,2049
