"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"323097",2009,412,4031,1464,8529,1317,854,1094,2591,2888,1571
"323098",1429,419,4279,1121,14284,920,842,777,1272,1190,826
"675281",3747,332,3791,2145,1972,1756,2232,2346,2525,1749,1474
"2584466",2782,281,2809,1484,1402,1150,1425,1414,2832,1743,1562
"2108445",2066,228,2355,1370,1149,652,1053,908,1375,885,855
"2082387",1909,178,1912,1022,878,777,927,1054,1368,992,824
"2493672",1613,132,1444,924,658,710,766,883,1053,1333,964
"2493673",1607,155,1568,1029,622,878,825,993,1288,1472,1123
"2493676",1546,141,1514,903,663,792,690,860,1085,1165,868
"2493668",1542,160,1699,829,593,583,740,780,759,727,501
"2777475",1541,217,1665,1012,667,1653,865,978,1684,6131,6126
"2493680",1513,382,2063,1547,666,767,705,864,1135,1272,981
"2493675",1454,134,1376,852,545,586,627,766,984,797,582
"2744518",1453,161,1525,853,629,640,740,818,982,902,714
"2744521",1438,146,1715,946,635,573,766,835,792,744,453
"2493669",1402,150,1375,898,578,709,698,796,1052,1246,888
"2654248",1391,141,1325,798,621,570,704,782,946,695,591
"2493677",1076,122,1246,696,517,539,564,654,693,573,415
"2493679",899,83,911,578,406,419,479,542,653,566,458
"2493678",836,77,918,513,383,431,430,512,583,483,454
"2493671",831,77,797,491,324,692,425,440,654,1507,1433
"2654249",804,70,750,435,384,274,392,392,421,372,322
"2483404",783,73,817,526,348,440,398,518,574,487,352
"2493681",773,59,775,475,346,327,394,433,461,447,317
"2744523",771,82,837,422,361,316,533,527,442,318,263
"2744516",718,84,731,410,333,380,339,456,491,413,315
"1854057",701,74,1024,476,278,244,401,373,337,392,213
"2744522",670,81,719,405,334,251,355,423,464,274,252
"2483403",568,48,524,321,216,221,267,330,376,319,258
"2744517",538,45,525,324,212,288,286,321,380,325,264
"2493674",438,40,398,250,188,337,236,257,335,743,652
"2493670",397,48,423,269,174,329,190,237,343,677,664
"2744515",193,23,197,115,88,82,75,112,89,105,76
"278153",147,23,234,118,75,80,113,95,118,92,83
"2744520",107,17,101,62,46,59,57,58,79,59,40
"2744519",100,4,104,69,34,30,64,69,33,47,29
"2483402",73,5,72,45,34,33,29,48,36,43,20
"1670800",2876,257,2712,1629,1500,1128,1585,1706,1881,1265,1122
"1082933",1432,125,1460,842,651,626,693,833,936,718,575
"935548",789,73,763,506,343,372,387,479,535,384,309
"935546",107,15,99,56,62,64,70,61,72,43,42
"682633",717,77,886,470,291,245,350,452,330,311,220
"278148",186,27,205,100,70,91,113,148,126,94,88
"754035",1062,105,992,630,450,452,512,621,731,558,448
"536019",1016,83,1022,552,467,572,515,607,718,575,463
"1777866",809,71,828,465,344,396,431,511,587,461,383
"763057",78,7,86,56,36,42,32,51,71,67,45
"266835",209,19,223,125,81,114,94,119,128,102,89
"2725666",93,8,64,66,32,46,34,49,53,80,34
"2774562",2408,56,530,912,191,158,222,244,210,158,118
"374606",2241,210,2026,1249,924,744,1050,1093,1160,894,693
"2666139",510,26,300,284,107,90,123,127,221,117,103
"83263",723,27,323,374,106,111,130,161,118,125,70
"266779",6197,2602,20712,2603,689,1004,3756,1571,2292,16274,839
"2599600",2386,231,2427,1395,1238,1013,1331,1492,1566,1130,995
"1756988",1180,85,1146,705,618,541,620,697,793,621,450
