"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"671232",35,22,19,12,3,15,21,11,15,5,1
"1302",40,21,16,13,1,8,12,7,4,8,2
"1308",17,20,6,7,3,6,15,12,5,2,1
"1310",20,14,5,10,0,7,26,6,10,1,0
"1313",44,14,12,10,3,9,18,7,4,9,2
"1309",30,14,8,7,3,6,14,10,1,7,0
"1811193",25,12,7,3,1,2,4,3,1,3,0
"28037",26,12,8,8,1,12,6,13,12,6,0
"1335",37,11,7,9,3,6,9,6,6,6,1
"1340",22,11,2,3,0,4,10,5,4,8,0
"1329",17,10,3,3,1,2,6,2,3,6,0
"1341",17,10,9,10,1,3,13,4,7,5,2
"1304",20,10,9,7,8,6,9,6,3,10,2
"1314",44,10,20,8,7,9,13,18,8,12,1
"1318",25,9,7,8,4,0,9,6,2,5,0
"1326",12,8,3,3,2,4,5,1,8,4,0
"45634",40,8,8,17,4,12,14,10,2,12,1
"82348",21,8,12,4,1,6,7,4,3,6,1
"315405",8,7,7,6,5,6,7,7,1,0,0
"1888195",19,7,6,4,1,3,11,0,2,1,0
"1825069",6,7,2,2,1,3,3,2,1,0,1
