"","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1032851",0.000118468986788768,0.000151859538014531,0.000176587602623106,0.000133494061969819,0.000157587713422525,0.000162541709442743,0.000180944152488139,0.000153783887502892,0.000164330581610342,0.000122742422168694,0.000123829221061506,0.000120509935469741,0.000110866299066302,8.70281020927464e-05,"v_3472",244,2.08611481975968e-05,43449.8266818201
"2649013",0.000142043419928095,0.000159497443772658,0.000207353461791332,0.000167872131440307,0.000178846869622994,0.000186900821212092,0.00020326843104187,0.00016811374974748,0.000165662991731507,0.000146282064776389,0.00013612432102506,0.000137620879654085,0.000105450416640649,0.000118965020291919,"v_3203",243,2.03214859070495e-05,28970.985511377
"2017484",0.000142043419928095,0.000175671832436928,0.000199345909405081,0.000158942762746674,0.000181208998089713,0.000194430001213527,0.00022715932563446,0.000189084279861511,0.000187425690377201,0.000147290906602433,0.000131733213895219,0.000158642896794851,0.000134441316683849,0.000118965020291919,"v_3325",243,2.02967383141529e-05,15936.7815507203
"1793",0.000214855593168547,0.000232731481335879,0.000287428985653838,0.000229931243861059,0.000252072852091277,0.000302052985939921,0.000303923511538519,0.000263879170601554,0.000282915082394021,0.000264989119640906,0.000229654902890666,0.000222197832336702,0.00020675927613227,0.000146909823716196,"v_3377",243,1.91979112672541e-05,18938.2290616449
"2213200",0.000238728436853941,0.000286646110216777,0.000340953151604039,0.000297794445932673,0.000317537555311769,0.000334384170651965,0.000328597714150538,0.000305121213159147,0.00031578119871609,0.00029828089990036,0.000227020238612761,0.000268152939574656,0.000258688031154704,0.000195613623969935,"v_3466",243,1.88189243102864e-05,12954.3603993128
"319707",0.000134881566822477,0.000172526812418875,0.000194709958023567,0.000172336815787124,0.000177834528851543,0.000197530251802353,0.000201310160993297,0.000185589191509172,0.00020074979158885,0.000157715605471555,0.000166862070933945,0.00015473182383843,0.00014718456945009,0.000120561866201878,"v_3385",242,2.03227248709507e-05,21430.4442062493
"75385",0.000229477709925851,0.000319444176119324,0.000396584568182201,0.000309402625234396,0.000301002656044737,0.000360071961245096,0.000428077832618043,0.000357547538444224,0.000372630697219127,0.000289537604074645,0.000256440656382694,0.000300663733524911,0.000250404916856647,0.000196412046924914,"v_3661",242,1.88058298072402e-05,16466.455938127
"35701",9.75802485640485e-05,0.000138830169368314,0.000116741684789022,0.000114295919278507,0.000123168127193194,0.00013065341767196,0.000140603789487536,0.000112541844945298,0.00011236658688491,9.11320449526466e-05,9.13350283006854e-05,0.000106576738062489,8.69727001295989e-05,7.58501807230359e-05,"v_4461",242,2.15638073058179e-05,44315.4789974082
"351604",0.000102653227847195,0.000148714517996478,0.000119691835668167,0.000118760603625324,0.000151851115717637,0.000128881845906916,0.000148045215672114,0.000123027110002314,0.000144788566499923,8.87780806918772e-05,9.96781318473827e-05,0.000104132317464725,9.97159528958405e-05,9.8206023462457e-05,"v_2833",241,2.16197518052493e-05,58906.7437176377
"184917",9.22088587348348e-05,0.000124003646426067,0.000112527183533101,0.000114742387713189,0.000128904724898083,0.00011559505766909,0.000149220177701257,0.000121279565826145,0.000136794105772933,8.91143613005585e-05,9.04568068747173e-05,9.48435191932239e-05,8.69727001295989e-05,7.90438725429532e-05,"v_2850",241,2.15545113592275e-05,22213.0969615986
