"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2572874",7.83308019429172e-06,7.97207294269585e-06,9.32687084815455e-06,6.86344255955081e-06,2.90981079398109e-06,1.17332188692648e-05,8.03870321037846e-06,1.40175780428658e-05,4.21952419877948e-06,8.92936869363336e-06,3.9761020363209e-06,"v_6071",18,2.56706456167373e-05,3889.91331589304
"2099338",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_6092",18,1.45009498122127e-05,1278.67872403769
"130310",3.91654009714586e-07,0,0,0,0,0,6.99017670467692e-07,0,0,0,0,"v_6184",18,1.56423532356208e-05,68986.4624561803
"1507401",3.91654009714586e-07,0,0,0,0,2.4444205977635e-07,0,0,3.83593108979953e-07,0,0,"v_6299",18,1.48161318043085e-05,12102.5569336512
"2733124",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_6409",18,1.45009498122127e-05,1278.67872403769
"2560132",0,0,0,0,5.06054051127147e-07,0,0,3.1858131915604e-07,0,0,0,"v_6416",18,1.4088277144588e-05,63551.9115955436
"10455",0,0,4.44136707054978e-07,0,0,2.4444205977635e-07,0,0,0,0,0,"v_7056",18,1.45009498122127e-05,1278.67872403769
"2725614",0,4.42892941260881e-07,0,0,1.26513512781787e-07,0,0,0,3.83593108979953e-07,4.46468434681668e-07,0,"v_7106",18,1.55187932586362e-05,27628.6482656555
"1232637",3.91654009714586e-07,0,0,0,0,0,3.49508835233846e-07,0,3.83593108979953e-07,0,0,"v_7173",18,1.48568542096896e-05,17629.7473308034
"939922",0,4.42892941260881e-07,0,0,1.26513512781787e-07,2.4444205977635e-07,0,0,0,4.46468434681668e-07,0,"v_7509",18,1.47177864449187e-05,8849.48153985899
"212035",0,0,0,0,3.7954053834536e-07,0,0,3.1858131915604e-07,0,0,0,"v_7531",18,1.29562209294793e-05,266.973194874051
"2734113",0,0,0,0,0,0,3.49508835233846e-07,3.1858131915604e-07,0,4.46468434681668e-07,0,"v_7919",18,1.51288219186372e-05,8396.96253151209
