"","SRR11092499","SRR11092502","SRR11092506","SRR11092509","SRR11092512","t.0n7bM2TOMPOOA100365","t.1qGgM2TOMPOOM080340","t.9JUZM2TOMPOOB100355","t.a50wM2TOMPOOB051350","t.abKIM2TOMPOOA051320","t.aFJgM2TOMPOOM090325","t.AYtCM2TOMPOOA100360","t.cSObM2TOMPOOM080315","t.cuu6M2TOMPOOB051315","t.dSz8M2TOMPOOA051340","t.DYZgM2TOMPOOB100370","t.FvY2M2TOMPOOB051329","t.IGpcM2TOMPOOB051290","t.iYASM2TOMPOOA050195","t.nG3jM2TOMPOOA051345","t.Nm8MM2TOMPOOA051300","t.OeS0M2TOMPOOA051355","t.s9OmM2TOMPOOB051285","t.TECcM2TOMPOOA051310","t.vcXtM2TOMPOOB050180","t.wQqUM2TOMPOOA080335","t.XR8LM2TOMPOOB051125","nodos","degrees","closeness","betweenness"
"1175445",1.01040136028892e-05,1.35365081162134e-05,8.32031950026881e-06,1.17029081726809e-05,9.4962911504428e-06,2.55651390465234e-05,8.45004886791848e-06,1.78715619582683e-05,2.5818607281351e-05,2.14164189605856e-05,8.67635671105346e-06,1.77316725104568e-05,1.612429272041e-05,2.73524595641823e-05,1.76751954911507e-05,2.54490437211468e-05,3.95584872233597e-05,2.47580641966701e-05,3.30995621589918e-05,2.10650138391598e-05,2.39639136288029e-05,2.33750845149907e-05,2.89225273950564e-05,3.45892070473698e-05,2.9466402451258e-05,1.64455374401635e-05,2.416545640492e-05,"v_8143",317,1.72164451484058e-05,35867.9469281337
"57480",0.000109339861488408,0.000107984417017975,0.000108804178080438,0.000100825055026174,0.000125643236759705,0.000194418759039287,9.66244718375026e-05,0.000105604684298858,0.000151448171979632,0.000133537671166004,8.56790225216529e-05,0.000133315908134175,0.000159574896922679,0.000154527297331669,0.000145820362801993,0.000197385265934748,0.00017726208198822,0.000156718546364922,0.000189660491171023,0.000152998521568634,0.000164136394717828,0.000166086126817039,0.000162689216597192,0.000164381088729881,0.000177015079431454,0.000128085435832043,0.000141114331846014,"v_1652",316,1.61535230833845e-05,13331.505547718
"2608981",3.28380442093898e-05,3.29183265553371e-05,3.23212411356596e-05,2.61064874621343e-05,4.45595200136162e-05,5.23673009501366e-05,2.95751710377147e-05,2.76196866627782e-05,3.71536055999929e-05,4.69271533106949e-05,2.27754363665153e-05,3.57917093266627e-05,4.00327267541215e-05,4.73733320286868e-05,3.58155277057526e-05,5.46223377429491e-05,5.68340291120422e-05,3.19379028137045e-05,5.19663125896171e-05,4.10213427394164e-05,4.59581905209919e-05,3.25142153028066e-05,4.8032054423933e-05,4.97425739443127e-05,4.61495861920438e-05,2.75146491787352e-05,3.66956930593229e-05,"v_3002",316,1.75951015237358e-05,125164.157382859
"60894",0.000115474441175876,0.00012182857304592,0.000128644939965695,0.000164140788986063,0.000124912752825055,0.000241013286656338,8.71640910397243e-05,0.000230705618006736,0.0002389795478847,0.000308648390902557,7.91717549883628e-05,0.000281408210027064,0.000161520932251004,0.000311310467617085,0.000310013626180313,0.000226248205764829,0.000245112398681451,0.000373351608085786,0.000235999878193611,0.000129161795382216,0.000338449245908162,0.000227951012149947,0.000289999984505789,0.000236853713019608,0.000234864560714439,0.000204620436995881,0.000373222048920431,"v_5067",316,1.50116340163627e-05,10128.5062952603
"570267",1.19083017462622e-05,1.44594518514097e-05,1.15204423849876e-05,1.38034301523929e-05,1.314871082369e-05,3.01008895225195e-05,1.87370648810366e-05,1.4622187056765e-05,2.45591630237242e-05,3.43292598044681e-05,1.13877181832577e-05,2.70900552243089e-05,2.22404037522897e-05,4.1451665525101e-05,2.46522463429207e-05,2.63801062963107e-05,3.75555258449618e-05,2.87193544681374e-05,3.74025052396607e-05,3.65866029838038e-05,2.69183687337238e-05,2.67143823028465e-05,3.61531592438205e-05,3.32715229693747e-05,2.92497377273517e-05,1.70780581109391e-05,2.416545640492e-05,"v_8142",316,1.71068838100452e-05,13634.1652595621
"2711329",0,0,0,0,0,6.06141199974023e-05,3.53616175450936e-05,4.54912486210465e-05,5.25817977559222e-05,6.99183089595589e-05,4.39240558497081e-05,7.9135797685557e-05,4.67048478798084e-05,7.24699186391221e-05,0.000160239601228984,7.01400473290142e-05,7.13554991054274e-05,4.77830638995734e-05,6.65301199395734e-05,4.54560824950289e-05,7.91137422539932e-05,5.58892998177974e-05,7.33392658946073e-05,5.83075204512804e-05,6.21827757611107e-05,5.88244223821234e-05,7.1303013342912e-05,"v_10358",316,1.64845128002242e-05,746.526135977904
"1265399",5.66546477019143e-05,5.32230887296572e-05,4.60817695399503e-05,6.81169270563735e-05,5.18643593601107e-05,7.69015876157518e-05,2.91159292514148e-05,9.09824972420931e-05,7.84004050372732e-05,8.37759918164084e-05,3.47054268442138e-05,0.000104255667075371,7.36713374294597e-05,0.00011786936183328,6.65145514535406e-05,8.68991736819645e-05,9.83954777137999e-05,8.83862891821124e-05,7.6128992965681e-05,5.32168770673509e-05,0.000107673474934895,0.000120038967847659,8.90917138508434e-05,0.000110026620512586,7.25826825086135e-05,6.04057240590622e-05,9.60651476837559e-05,"v_3925",315,1.65160949345137e-05,10677.8615250392
"1901",0.000188006824539473,0.000208277636242647,0.000183687053582858,0.000256863830661919,0.000199056872191974,0.000291525053320839,0.000131710544310816,0.000269698116824776,0.000262908988779611,0.000343292598044681,0.000140990796554619,0.000331155402348067,0.000232134214164524,0.00036234959319561,0.000250243557216817,0.000280560189316057,0.00031421456623618,0.000308733060532477,0.00028101528272984,0.000175726562816148,0.000303324057438547,0.000419345501148631,0.000285868194877924,0.000370269225916606,0.000268230928196011,0.000252059487304045,0.000323399441270781,"v_4056",315,1.48003433679661e-05,8447.739757732
"68246",0.0001862025363961,0.000190126409450452,0.000195847520544789,0.000246061146194829,0.000189195339074207,0.000286989302844843,0.000116004475219359,0.000220957493302226,0.000266687321552492,0.000355575544213252,0.000137737162787974,0.000339036145686048,0.00022184802742909,0.000392803878071195,0.000247220168514384,0.000291112231834581,0.000319973080199074,0.000328044350605879,0.000310804888672933,0.000179052617632858,0.000340418882644776,0.000394212891482137,0.000321763117270003,0.00037455169917009,0.000286214100280234,0.00023719525154082,0.000317432661911541,"v_4058",315,1.4809768523318e-05,8953.95176291965
"1715989",8.26363969664864e-05,5.81454553173711e-05,7.45628632139474e-05,5.76143171578137e-05,6.20911344452029e-05,0.000290906541892295,0.000186544013595026,0.000115352809003368,0.000163098031362681,0.000209125032203365,4.50086004385898e-05,0.000154987952313622,0.000149844720281052,0.000234892771308905,0.000193264308594029,0.000317802692322613,0.000269398305394526,0.000221089513276264,0.000308487919321803,0.000117520603523733,0.000223553769605682,0.000199654857210748,0.000222083692497755,0.000263866236618506,0.000231181260408032,0.000136624464887513,0.000203467176150067,"v_7757",315,1.59555796662093e-05,9697.75409883872
