"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2635918",0.000306864096047114,0.000415321982871674,0.000227799457243032,0.000348999637713574,0.000286632735065631,0.000278327142542463,0.00034551423800713,0.000401641969689307,0.000268270112873053,0.00032968564456918,0.000317175027752815,"v_3210",169,2.04561726500972e-05,4058.40426859451
"39694",7.90747890253179e-05,8.7124106236672e-05,7.92345938236634e-05,9.03501600172197e-05,6.07197071167068e-05,6.2027191766606e-05,7.95387878514373e-05,8.04969739880982e-05,4.07195707039456e-05,6.95140663062958e-05,6.8280735141231e-05,"v_3390",42,2.4030374393233e-05,4057.80257589409
"2080742",0.000200831992581347,0.000767467585042935,0.000170096003045364,0.000249791618871137,0.000276810429502634,0.000490650991281999,0.000373155377047701,0.000685699354338408,0.000154894053265989,0.00029965286834947,0.000574879737801977,"v_3173",42,1.93356278278356e-05,4056.29977199866
"1314869",3.14502001805241e-06,1.82458861228632e-06,1.29186837755973e-06,3.10025058882617e-06,1.78587373872667e-06,6.36176325811343e-06,1.97436707432646e-06,3.79305113032924e-06,2.39526886493797e-06,4.04936308580364e-06,4.4052087187891e-06,"v_2452",11,2.30744381374314e-05,4052.55462507765
"2806008",8.98577148014976e-07,4.56147153071581e-07,1.29186837755973e-06,1.32867882378264e-06,1.78587373872667e-06,3.9761020363209e-06,8.46157317568482e-07,2.10725062796069e-06,1.59684590995865e-06,1.01234077145091e-06,0,"v_2378",6,2.09060690318399e-05,4047.65003621637
"1255",3.14502001805241e-06,1.59651503575053e-06,3.44498234015928e-06,1.77157176504352e-06,2.67881060809001e-06,4.77132244358508e-06,5.35899634460039e-06,2.10725062796069e-06,3.1936918199173e-06,3.71191616198667e-06,6.60781307818364e-06,"v_4176",7,2.31932461267279e-05,4046.89873492268
"526119",1.34786572202246e-06,2.2807357653579e-07,0,4.42892941260881e-07,0,0,0,4.21450125592137e-07,0,3.3744692381697e-07,0,"v_6816",11,1.92326185210116e-05,4042.27444145909
"46126",2.69573144404493e-06,2.5088093418937e-06,1.29186837755973e-06,2.65735764756528e-06,2.23234217340834e-06,1.03378652944343e-05,3.10257683108444e-06,1.26435037677641e-06,3.1936918199173e-06,1.34978769526788e-06,4.4052087187891e-06,"v_4060",6,2.25463891957703e-05,4041.84434476892
"233055",6.29004003610483e-06,4.56147153071581e-06,4.3062279251991e-06,1.37296811790873e-05,5.80408965086168e-06,3.9761020363209e-06,6.76925854054786e-06,2.95015087914496e-06,2.39526886493797e-06,3.3744692381697e-06,2.20260435939455e-06,"v_4411",31,2.80489173117918e-05,4037.84810195077
"122355",3.27980659025466e-05,3.05618592557959e-05,2.32536307960751e-05,2.92309341232181e-05,2.72345745155817e-05,4.77132244358508e-06,2.70770341621914e-05,2.78157082890811e-05,5.42927609385941e-05,5.02795916487285e-05,1.98234392345509e-05,"v_1522",76,2.80355490762287e-05,4032.30459996348
"2341112",0.000302820498881047,0.00031154850554789,0.000274306718835183,0.000199301823567396,0.000268773997678364,0.000531207232052472,0.000385283631932849,0.000296279438291273,0.000375258788840283,0.000272994561367929,0.000270920336205529,"v_176",39,1.96371062760192e-05,4030.03246819965
"2686304",0.000365271610668088,0.000418971160096247,0.000298852218008817,0.000479210162444273,0.000585766586302348,0.000221071273219442,0.000349745024594973,0.000451794534634771,0.000325756565631565,0.000390088643932418,0.000356821906221917,"v_3078",145,2.00352620612278e-05,4028.19628951816
"2661587",0,4.56147153071581e-07,0,0,4.46468434681668e-07,0,0,4.21450125592137e-07,0,3.3744692381697e-07,0,"v_6514",11,1.64902212987698e-05,4025.40314649552
"370764",0.000183309738195055,0.000313829241313248,0.000172679739800484,0.000220560684747919,0.000206714885257612,0.000409538509741052,0.000272744708696241,0.000282371584146732,0.000148506669626154,0.000222040075871566,0.00029074377544008,"v_3152",42,2.015438257049e-05,4023.57055473732
"2675225",0.000624061829296401,0.000496972323271487,0.000465933861506542,0.000469466517736534,0.000545584427180998,0.00046043261580596,0.000659156550385848,0.000510376102092078,0.00100122238554407,0.000547338910431126,0.000548448485489242,"v_419",62,1.87010266863651e-05,4021.32112913669
"237609",8.53648290614227e-05,7.48081331037393e-05,8.18183305787829e-05,7.92778364856977e-05,7.58996338958836e-05,7.63411590973612e-05,0.000106333769574439,9.77764291373759e-05,0.000205993122384666,0.000142740048774578,7.04833395006255e-05,"v_1482",71,2.46669955599408e-05,4019.74335312369
