"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"658445",2.70770341621914e-05,8.81041743757819e-06,2.50880934189369e-05,1.92264638175041e-05,1.80288761220578e-05,1.8947402870876e-05,2.02421620450859e-05,1.11330857016985e-05,"v_2642",91,3.13636933885334e-05,13534.2746738682
"47886",1.91795658648856e-05,1.54182305157618e-05,1.66493710871127e-05,1.70901900600037e-05,1.38093519232783e-05,1.03349470204778e-05,1.20187837142697e-05,1.59044081452836e-05,"v_1455",96,3.13627097381214e-05,10002.5868294212
"1833852",9.02567805406381e-06,8.81041743757819e-06,7.98257517875266e-06,1.45266615510031e-05,5.7538966346993e-06,7.75121026535838e-06,7.97035130525256e-06,6.36176325811343e-06,"v_4402",156,3.13587757533946e-05,11972.3476899859
"648996",2.93334536757074e-05,2.20260435939455e-05,2.09827690412927e-05,2.17899923265047e-05,1.6494503686138e-05,1.46411749456769e-05,5.6931080751804e-06,6.36176325811343e-06,"v_5206",216,3.13548427554636e-05,24586.873537687
"634500",1.01538878108218e-05,8.81041743757819e-06,5.92991298993055e-06,9.39960453300201e-06,8.82264150653892e-06,4.73685071771901e-06,2.90981079398109e-06,1.59044081452836e-06,"v_2032",188,3.13499278951658e-05,15433.4331645045
"929509",1.77693036689381e-05,8.81041743757819e-06,9.35101663796741e-06,1.62356805570035e-05,1.6494503686138e-05,1.46411749456769e-05,2.8465540375902e-05,1.51091877380194e-05,"v_5045",79,3.13499278951658e-05,69003.9787299523
"280472",1.57949365946117e-05,8.81041743757819e-06,1.04913845206464e-05,1.66629353085036e-05,1.45765381412382e-05,9.47370143543802e-06,2.99837025292834e-05,1.43139673307552e-05,"v_4926",103,3.13489451079971e-05,81669.5353703336
"161899",2.53847195270545e-05,2.20260435939455e-06,3.03337856792601e-05,2.26445018295048e-05,1.95632485579776e-05,1.76555344933163e-05,1.32839188420876e-05,1.11330857016985e-05,"v_3518",178,3.13459971161683e-05,15939.8412358273
"71667",1.24103073243377e-05,4.4052087187891e-06,4.10532437764423e-06,1.11086235390024e-05,7.67186217959906e-06,8.18183305787829e-06,1.91035404300498e-05,6.36176325811343e-06,"v_4901",76,3.13450145754318e-05,19796.6362880453
"54304",1.35385170810957e-05,8.81041743757819e-06,1.07194580971822e-05,1.28176425450027e-05,9.97342083347878e-06,1.55024205307168e-05,7.71732427968899e-06,5.56654285084926e-06,"v_4604",91,3.13440320962889e-05,25487.1897689512
"784",1.07179926892008e-05,2.20260435939455e-06,3.87725080110844e-06,8.54509503000183e-06,6.90467596163915e-06,3.44498234015928e-06,4.68099997292611e-06,7.95220407264179e-07,"v_767",206,3.13420673227606e-05,79492.8903594113
"703",3.44103975811183e-05,1.10130217969727e-05,1.8473959699399e-05,3.2898615865507e-05,2.14812141028774e-05,2.06698940409557e-05,2.87185674014656e-05,1.59044081452836e-05,"v_2172",151,3.13420673227606e-05,26226.7735074797
