"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"885272",5.12919324201795e-05,3.74442741097073e-05,3.40882011496963e-05,1.78384053022319e-05,4.16987954764878e-05,4.44631713640465e-05,5.16681860108611e-05,4.88550377760476e-05,3.33726004812559e-05,3.27552360100309e-05,2.02392712484358e-05,"v_5159",302,2.69099324560695e-05,30526.5626269922
"487909",1.99093685052012e-05,8.81041743757819e-06,1.97520417876745e-05,1.31574053293058e-05,2.01768365208812e-05,2.2380790955057e-05,1.9319408682322e-05,1.42123746257593e-05,1.72616899040979e-05,1.85775965430026e-05,1.80861572858362e-05,"v_1674",35,2.69092083310909e-05,1306.46666546343
"1862358",2.49710723624558e-05,1.54182305157618e-05,1.46547406811778e-05,8.72943238194328e-06,2.15219589556066e-05,1.37268851191016e-05,1.52758115162546e-05,1.90978784033641e-05,1.41929450322583e-05,1.53998497659101e-05,1.4210552153157e-05,"v_3526",37,2.69084842450825e-05,5086.66164722062
"2642663",1.01234077145091e-05,0,5.73446374480872e-06,5.94613510074398e-06,2.01768365208812e-06,4.4761581910114e-06,9.88434862816473e-06,5.32964048465974e-06,9.20623461551887e-06,8.31103003239591e-06,9.04307864291811e-06,"v_4657",26,2.69084842450825e-05,19746.9381348466
"836",5.29791670392643e-05,3.30390653909182e-05,3.95040835753489e-05,2.8465540375902e-05,3.56457445202234e-05,4.11806553573049e-05,5.16681860108611e-05,5.28522681395424e-05,3.52905660261557e-05,4.37551286999667e-05,3.10048410614335e-05,"v_5024",373,2.69070361899637e-05,61803.601996281
"681157",1.68723461908485e-05,1.76208348751564e-05,9.87602089383723e-06,1.10066756120154e-05,6.38933156494571e-06,1.19364218426971e-05,1.16815029241947e-05,1.19916910904844e-05,9.58982772449883e-06,1.27109871083702e-05,9.04307864291811e-06,"v_637",38,2.6906312220847e-05,3270.18035316585
"1778675",3.50944800769649e-05,1.54182305157618e-05,2.19821110217667e-05,2.92246214525927e-05,2.65661680858269e-05,2.32760225932593e-05,2.69573144404493e-05,2.66482024232987e-05,1.99468416669576e-05,2.81108368742803e-05,2.15311396259955e-05,"v_1225",33,2.68940107038163e-05,8721.74504374907
"618",4.62302285629249e-05,3.08364610315237e-05,3.50439451071644e-05,3.66889187067181e-05,2.05131171295625e-05,4.11806553573049e-05,4.44795688267413e-05,4.0860577049058e-05,3.2605414263296e-05,3.73996351457816e-05,2.79904815137941e-05,"v_1967",189,2.68940107038163e-05,30659.4199098935
"83655",5.26417201154473e-05,3.30390653909182e-05,3.85483396178808e-05,3.35260808871735e-05,3.66545863462675e-05,4.44631713640465e-05,5.12188974368536e-05,4.26371238772779e-05,3.03038556094163e-05,4.66884334172829e-05,2.97129726838738e-05,"v_1850",296,2.68918410154359e-05,45790.4486661463
"163003",8.77362001924122e-06,4.4052087187891e-06,3.82297582987248e-06,2.15072971729037e-06,4.37164791285759e-06,5.07297928314625e-06,6.73932861011232e-06,8.88273414109957e-06,3.83593108979953e-06,5.13328325530335e-06,6.02871909527874e-06,"v_5380",29,2.68918410154359e-05,11382.9323834244
