"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"472569",5.95314094766171e-05,3.56885407273471e-05,6.15317183364521e-05,4.42003750334851e-05,3.22283389752821e-05,4.33390955689969e-05,3.30390653909182e-05,4.85796718021234e-05,3.45233798081958e-05,3.16159713348527e-05,2.8421104306314e-05,"v_3329",108,2.55362614913177e-05,12800.0377695577
"120961",0.000759417124836582,0.00052775040705714,0.000592137426456953,0.000488882935976427,0.000441050787087656,0.000465545768531483,0.000414089619566175,0.000419655380825854,0.000334876784139499,0.000433841384428256,0.000379378680210041,"v_4694",108,1.87038249321986e-05,8175.16909598222
"569860",0.000219326245440168,0.000229286652070216,0.000235169170080413,0.000278149834806679,0.00033630868541799,0.000247102746510329,0.000174005744392169,0.000226248987923504,0.000231690237823892,0.000260831763512534,0.000187751537538681,"v_284",107,2.09205020920502e-05,34915.6652127527
"60550",0.000150003485720686,0.000173309420381432,0.000133178239687115,0.000144209304402179,0.000168005137435961,0.000154832414008594,9.69145918133601e-05,0.000135931851615331,0.000126585725963385,0.000178718060184514,0.000108086320922497,"v_904",107,2.23269106253768e-05,8094.27096238368
"152480",0.000130029131225243,0.000134687574936769,0.000112105733407509,0.000116528261451915,0.000138462493375286,0.00014539567545728,0.000110130217969727,0.000126808908553899,0.000105488104969487,0.000163349185230072,0.000105071961374858,"v_906",107,2.27754116655659e-05,9012.78371785322
"342113",0.000133554017312674,0.000191642574864659,0.000125592137426457,0.000138405214751317,0.000141148188289893,0.000144347148951578,0.0001211432397667,0.000118598259798611,0.000108940442950307,0.000178718060184514,9.90432422795793e-05,"v_935",107,2.2385887936245e-05,4467.07841960898
"2735433",0.000159794835963551,0.000163531737990378,0.000120534735919351,0.000121439414233414,0.00021097625606967,0.000138755007587837,9.47119874539656e-05,0.000114036788267895,0.000121599015546645,0.000209894920806383,0.000109808812092577,"v_965",107,2.2183278244859e-05,4539.20253337723
"47671",0.000223242785537314,0.000230753304428875,0.000197660108902712,0.000212518974908474,0.000245293468867425,0.000241860113981821,0.000176208348751564,0.000205266218882211,0.000199084823560596,0.000226581127899777,0.000206268317617037,"v_1020",107,2.09788742736065e-05,3653.87843463543
"1906741",0.000282774195013931,0.000323152403024335,0.000262984878369494,0.000292883293151174,0.000368537024393272,0.000354751467762354,0.000231273457736428,0.000282583161327844,0.000270049548721887,0.000263905538503423,0.000229952571205632,"v_1229",107,2.03948441833904e-05,10322.1711123285
"61652",4.81734431948941e-05,4.10662660424268e-05,5.520996645257e-05,4.73256540762568e-05,4.2672708087642e-05,6.92027493763015e-05,3.74442741097073e-05,3.58075515161191e-05,2.72351107375767e-05,4.87412891412312e-05,2.28230080035552e-05,"v_1966",107,2.60179523871471e-05,25768.0407377514
"85085",0.000237733983896754,0.000103887875404949,0.000321987895952393,0.000188409679435664,0.000129808587539331,0.000135609428070732,0.000678402142693521,0.000524341152455782,9.20623461551887e-05,0.000128659438904331,9.94738650720992e-05,"v_3246",107,2.03099295245445e-05,2227.67960328481
"117567",0.000268674650664206,0.000222931158516031,0.000365818709013975,0.000207607822126976,0.000190684338937086,0.000241860113981821,0.000920688622226921,0.00045295412300008,0.000204838720195295,0.000200234485120733,0.000217464510222554,"v_3357",107,1.95499599225822e-05,9426.23449288198
