"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"62320",7.0572006082508e-05,6.67171229854836e-05,6.89421170096424e-05,9.58636710885131e-05,5.78956848416231e-05,7.37924875712683e-05,"v_5266",90,3.14346787375833e-05,22652.1046927747
"29291",1.77539637943416e-06,2.15216525759625e-06,1.35180621587534e-06,5.38559949935467e-06,0,8.83742366122974e-07,"v_5302",28,2.85038337656415e-05,22645.4861885004
"1246",2.66309456915124e-06,0,0,3.2313596996128e-06,3.85971232277488e-06,1.76748473224595e-06,"v_4128",26,2.6962899050906e-05,22641.6427429658
"1395516",2.52993984069368e-05,1.721732206077e-05,1.21662559428781e-05,1.58875185230963e-05,7.71942464554975e-06,1.06049083934757e-05,"v_1618",31,3.21326435525851e-05,22638.9800935876
"640030",1.6422416509766e-05,1.00434378687825e-05,5.40722486350137e-06,8.34767922399974e-06,3.85971232277488e-06,1.19305219426601e-05,"v_1263",45,3.28806760266991e-05,22606.7702674774
"2665642",0.000334218368428481,0.000357259432760977,0.00045285508231824,0.000528865870836629,0.000331935259758639,0.000345543265154083,"v_3640",96,2.46038775711052e-05,22594.8222050279
"1891094",0.000112737670094069,0.000119086477586992,0.000152754102393914,0.000131677907759222,0.000131230218974346,0.000102955985653326,"v_1059",126,2.94316743679548e-05,22569.6599291365
"487909",1.6422416509766e-05,1.36303799647762e-05,2.02770932381301e-05,2.26195178972896e-05,1.28657077425829e-05,1.32561354918446e-05,"v_1360",25,3.29088096883536e-05,22547.0557336665
"260552",3.63956257784004e-05,3.29998672831424e-05,3.64987678286342e-05,4.57775957445147e-05,2.70179862594241e-05,2.65122709836892e-05,"v_2315",83,3.35998924803441e-05,22544.2811678366
"92826",2.52993984069368e-05,1.36303799647762e-05,3.10915429651329e-05,3.04286371713539e-05,1.28657077425829e-05,1.19305219426601e-05,"v_1350",39,3.30381921501255e-05,22512.1004329455
"2698828",0.000218817603765261,0.00017791232796129,0.000213585382108304,0.000178532623403607,0.00021871703162391,8.66067518800514e-05,"v_375",81,2.66091908145073e-05,22501.0643306111
"2643261",0.000126940841129543,0.000124108196521384,0.000128421590508157,0.000166145744555092,0.000135089931297121,0.000140956907396614,"v_3046",24,2.68470790378007e-05,22447.6012025156
"1712261",0.000194405903548041,0.000191542707926066,0.000273064855606819,0.000273857734542185,0.000249594730206109,0.000216516879700129,"v_304",183,2.66673777967412e-05,22438.8273150687
"1224153",2.2192454742927e-06,3.58694209599374e-06,4.05541864762603e-06,1.34639987483867e-06,0,8.83742366122974e-07,"v_2079",48,2.77446383486391e-05,22438.2181172239
"44930",3.46202293989662e-05,3.01303136063475e-05,2.29807056698808e-05,5.22403151437403e-05,3.85971232277488e-05,4.63964742214561e-05,"v_5286",41,3.16786517565812e-05,22424.2528390025
"1703",0.000116288462852938,0.000119086477586992,0.000121662559428781,0.00014971966608206,0.000129943648200087,0.000131235741369262,"v_3152",129,2.85379983447961e-05,22420.7976744763
"45056",4.43849094858541e-06,7.89127261118624e-06,1.35180621587534e-06,1.88495982477413e-06,2.57314154851658e-06,3.53496946449189e-06,"v_2653",28,2.8747197148278e-05,22405.9602601054
"1267562",6.83527606082153e-05,4.87824125055149e-05,4.05541864762603e-05,4.47004758446438e-05,1.41522785168412e-05,3.80009217432879e-05,"v_1005",87,3.23174869922115e-05,22404.127807668
"374606",0.000386148712526931,0.000389541911624921,0.000425818958000733,0.000392610203502955,0.000299770990402182,0.000328310289014685,"v_168",46,2.34246896228625e-05,22397.147529888
"272131",7.98928370745374e-06,2.869553676795e-06,5.40722486350137e-06,7.80911927406427e-06,2.57314154851658e-06,1.23723931257216e-05,"v_4597",42,3.235617679415e-05,22391.7948175553
