"","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"38289","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium jeikeiu"," "
"169292","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium aurimucosu"," "
"43770","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium striatu"," "
"39791","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium glucuronolyticu"," "
"1683","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatu"," "
"1603886","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium lemuru"," "
"1401","cellular organisms","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus lautu"," "
"714067","cellular organisms","Bacteria","Bacillota","Bacilli","Bacillales","Thermoactinomycetaceae","Kroppenstedtia","Kroppenstedtia eburne"," "
"1492710","cellular organisms","Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriophycideae","Oscillatoriales","Microcoleaceae","Oxynem"," "
"938406","cellular organisms","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Calotrichaceae","Calothrix","Calothrix brevissim"," "
"109266","cellular organisms","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Anabaenopsis","Anabaenopsis circulari"," "
"56956","cellular organisms","Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Thermus","Thermus brockianu"," "
"2527976","cellular organisms","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia fumarol"," "
"2528019","cellular organisms","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctopirus","Planctopirus ephydatia"," "
"1679444","cellular organisms","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia glycaniphil"," "
"665571","cellular organisms","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","Spirochaeta thermophila","Spirochaeta thermophila DSM 619"
"1441386","cellular organisms","Bacteria","Thermotogota","Thermotogae","Mesoaciditogales","Mesoaciditogaceae","Athalassotoga","Athalassotoga saccharophil"," "
"660522","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloplanus","Haloplanus aerogene"," "
"2257","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","Natronomonas pharaoni"," "
"588898","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","Natronorubrum daqingens"," "
"536044","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","Methanolobus zinder"," "
"92945","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Ketogulonicigenium","Ketogulonicigenium vulgar"," "
