"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"244366",2.85907427091648e-05,3.54314353008705e-05,3.59750732714532e-05,0,1.53081350465962e-05,0,3.21548128415138e-05,2.54865055324832e-05,0,2.85739798196268e-05,1.19283061089627e-05,"v_1791",38,2.50100040016006e-05,149.373538167384
"83655",4.5431865126892e-05,4.20748294197837e-05,4.26371238772779e-05,4.44631713640465e-05,3.35260808871735e-05,4.66884334172829e-05,4.089253372236e-05,3.85483396178808e-05,3.03038556094163e-05,4.15215644253951e-05,1.98805101816045e-05,"v_1850",83,2.48793352241628e-05,2616.62602330204
"2126321",8.10723800109193e-05,9.07930529584806e-05,8.92714781180507e-05,8.86279321820257e-05,4.79486213442972e-05,8.99546779976969e-05,8.14355586094861e-05,8.41054682571945e-05,6.94303527253715e-05,8.70613447629253e-05,3.73753591414164e-05,"v_1996",66,2.35349493998588e-05,3868.73940800554
"55213",2.46742026120189e-05,2.25875400043049e-05,1.51006480398693e-05,2.08887382247199e-05,1.53081350465962e-05,1.90664806625553e-05,1.78249505969261e-05,1.91148791493624e-05,2.07140278849175e-05,2.45557639074917e-05,1.03378652944343e-05,"v_2122",38,2.58852764547525e-05,4801.02648587097
"1052",2.9374050728594e-05,3.94174717722184e-05,4.1304713756113e-05,4.4761581910114e-05,2.45436214796666e-05,3.69107510262289e-05,3.46013746881507e-05,3.88669209370369e-05,3.49069729171757e-05,4.01821591213501e-05,1.66996285525478e-05,"v_2185",52,2.52397778899546e-05,2343.44722605895
"2795687",5.05233672531816e-05,4.8275330597436e-05,5.41846782607074e-05,6.26662146741596e-05,3.66889187067181e-05,6.03771887647585e-05,5.10282899441415e-05,5.83003814055553e-05,5.33194421482135e-05,5.98267702473435e-05,3.81705795486806e-05,"v_2208",35,2.43202490393502e-05,2085.87551582114
"2304594",5.24816373017545e-05,6.99770847192192e-05,6.66205060582467e-05,5.13266139235974e-05,5.06054051127147e-05,5.10883904932572e-05,5.83679754840523e-05,5.09730110649664e-05,6.13748974367925e-05,7.00955442450219e-05,4.21466815850015e-05,"v_2311",127,2.45706282709649e-05,4052.58368403095
"2769486",5.79647934377587e-05,5.31471529513057e-05,5.10757213113225e-05,6.41582674044967e-05,4.01047835518264e-05,5.27994849116916e-05,5.38243606260123e-05,4.20527341285973e-05,5.52374076931132e-05,5.75944280739352e-05,3.65801387341523e-05,"v_2312",47,2.46998962604357e-05,1917.0448033229
"1420917",5.63981773989004e-05,6.59910482478712e-05,6.1290865573587e-05,6.47550884966315e-05,4.78221078315154e-05,6.15993990636403e-05,6.36106080125599e-05,6.62649143844563e-05,5.7538966346993e-05,5.75944280739352e-05,3.65801387341523e-05,"v_2323",34,2.42635997476586e-05,5050.56882084055
"550540",7.83308019429172e-05,6.73197270716539e-05,8.30535642192809e-05,6.83360150494407e-05,5.18705402405325e-05,7.7488132949103e-05,7.33968553991076e-05,7.23179594484211e-05,6.17584905457724e-05,5.84873649432985e-05,4.29419019922657e-05,"v_2463",121,2.39635753654445e-05,3647.44768437229
