"","vcXtM2TOMPOOB050180.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2769486",6.41582674044967e-05,5.27994849116916e-05,5.31471529513057e-05,6.44523624490413e-05,3.91227247939869e-05,4.55166135639508e-05,6.23335890608782e-05,4.94332494761589e-05,5.10757213113225e-05,4.92638925317307e-05,5.52374076931132e-05,"v_2312",49,2.48706725029845e-05,2727.93984995478
"550540",6.83360150494407e-05,7.7488132949103e-05,6.73197270716539e-05,7.99749209446219e-05,6.94627970832013e-05,6.4481869215597e-05,6.65643756487206e-05,5.54863004324232e-05,8.30535642192809e-05,6.6369410771915e-05,6.17584905457724e-05,"v_2463",35,2.44570534142047e-05,4519.51120089091
"1704499",3.4317212797754e-05,2.34664377385296e-05,3.67601141246531e-05,3.67817146960497e-05,3.4332187064111e-05,3.0765859168226e-05,3.58206597770658e-05,2.92564129552777e-05,2.84247492515186e-05,2.64565348781517e-05,3.03038556094163e-05,"v_2540",35,2.56732818156145e-05,3044.26223428564
"2738883",6.92312466876429e-05,6.25771673027457e-05,3.63172211833922e-05,6.00655524394207e-05,4.79053772987595e-05,4.25664626848059e-05,6.93849000406155e-05,4.87606882587962e-05,5.37405415536524e-05,3.9228655164156e-05,4.48803937506545e-05,"v_2735",45,2.46913580246914e-05,2995.21465922517
"43771",4.80440979168557e-05,6.25771673027457e-05,7.66204788381324e-05,6.54647032204922e-05,5.03006461636975e-05,6.86963704715184e-05,7.0795162236563e-05,6.62472799102265e-05,5.41846782607074e-05,6.40886750065571e-05,5.14014766033137e-05,"v_3492",43,2.38282460028117e-05,4091.69944445796
"146827",2.98410546067426e-05,3.64218669066762e-05,4.73895447149142e-05,3.30697985340631e-05,2.23558427394211e-05,4.93096646942801e-05,4.11796561216661e-05,2.38759232163761e-05,5.81819086242022e-05,5.83868355931624e-05,2.03304347759375e-05,"v_3505",59,2.4791749305831e-05,2066.85412765288
"544580",4.29711186337094e-05,3.27552360100309e-05,4.60608658911316e-05,5.26417201154473e-05,4.07195707039456e-05,4.93096646942801e-05,4.28719707568031e-05,4.03536730417624e-05,4.75226276548827e-05,6.13517920881276e-05,3.60577522441156e-05,"v_3729",51,2.4721267706608e-05,2392.44580044899
"181487",3.22283389752821e-05,3.4221888368689e-05,3.36598635358269e-05,4.04936308580364e-05,2.79448034242764e-05,4.88882145686879e-05,3.52565548986868e-05,4.03536730417624e-05,4.53019441196078e-05,4.44743474244791e-05,2.07140278849175e-05,"v_3734",46,2.41785342972509e-05,4076.49045541448
"1684",3.46156233438215e-05,2.71330686351749e-05,4.20748294197837e-05,3.07076700673443e-05,1.91621509195038e-05,5.31027158246093e-05,3.63847646554447e-05,3.12740966073658e-05,4.0416440342003e-05,3.83163608580128e-05,1.87960623400177e-05,"v_3772",46,2.51376285161258e-05,3743.52378742156
"1944646",5.37138982921368e-06,4.888841195527e-06,2.6130683534392e-05,1.88970277337503e-05,1.59684590995865e-06,2.19154065307911e-05,1.52308317162327e-05,1.17698213038474e-05,2.35392454739139e-05,1.64212975105769e-05,8.05545528857901e-06,"v_3819",35,2.62639527248851e-05,3210.32478045297
"79263",7.13201205101149e-05,6.06216308245348e-05,6.86484058954365e-05,6.58021501443092e-05,4.71069543437802e-05,4.88882145686879e-05,7.22054244325105e-05,6.89375247796773e-05,7.72797870275662e-05,5.97552770523771e-05,5.21686628212736e-05,"v_3949",46,2.444808449258e-05,4119.77044404005
"375489",5.63995932067436e-05,4.25329184010849e-05,7.13057635430018e-05,6.47898093728583e-05,4.39132625238629e-05,3.96163118056609e-05,7.1359267114942e-05,6.25481932147316e-05,6.0846728866532e-05,5.47376583685897e-05,5.37030352571934e-05,"v_3950",53,2.46214452788379e-05,3413.04573344739
"365617",5.34154877460693e-05,4.10662660424268e-05,5.62474035401319e-05,5.26417201154473e-05,4.15179936589249e-05,4.34093629359902e-05,5.18976488108669e-05,4.87606882587962e-05,5.50729516748173e-05,4.6755083189837e-05,3.2605414263296e-05,"v_3956",60,2.546537981614e-05,4024.54887436941
"2610894",5.31170772000019e-05,4.17995922217559e-05,4.8275330597436e-05,5.77034239727019e-05,3.59290329740696e-05,4.84667644430958e-05,3.92052890473397e-05,3.39643414768166e-05,6.66205060582467e-05,4.65270096133013e-05,3.75921246800354e-05,"v_4325",37,2.51553341886147e-05,3403.18974661181
"42837",5.52059510224739e-05,6.57549140798382e-05,7.97207294269585e-05,8.19996024875237e-05,6.70675282182633e-05,6.19531684620442e-05,6.74105329662891e-05,6.92738053883587e-05,6.97294630076316e-05,5.88429827462339e-05,5.37030352571934e-05,"v_4486",49,2.45621791565348e-05,3473.43283778336
"907",4.71488662786534e-05,4.17995922217559e-05,5.27042600100448e-05,5.36540608868983e-05,4.79053772987595e-05,3.58232606753317e-05,5.04873866149194e-05,4.94332494761589e-05,6.39556858159169e-05,4.74393039194444e-05,4.18116488788149e-05,"v_4535",47,2.53472574267464e-05,2389.62364569266
"552811",5.93836986674179e-05,4.3999570759743e-05,6.90912988366974e-05,7.59255578588183e-05,4.07195707039456e-05,6.86963704715184e-05,5.66925402770883e-05,6.75924023449519e-05,8.08328806840061e-05,6.04394977819845e-05,4.71819524045342e-05,"v_4704",72,2.41931581748681e-05,1584.7859713421
"2528007",5.58027721146087e-05,4.69328754770592e-05,5.5804510598871e-05,9.48225855925686e-05,4.71069543437802e-05,4.84667644430958e-05,7.98208402906268e-05,5.58225810411046e-05,7.06177364217416e-05,5.47376583685897e-05,5.52374076931132e-05,"v_4868",69,2.46420738769375e-05,2975.71663034354
"353800",5.69964142988785e-05,4.61995492977302e-05,7.97207294269585e-05,7.05264070777468e-05,4.71069543437802e-05,4.76238641919115e-05,5.86669073514148e-05,5.11146525195656e-05,5.19639947254325e-05,5.81587620166266e-05,5.17850697122937e-05,"v_5328",49,2.4830531621682e-05,4035.05911841598
"1229908",1.07427796584274e-05,2.4444205977635e-06,7.97207294269585e-06,4.38681000962061e-06,0,2.10725062796069e-06,1.83334085473171e-05,6.05305095626435e-06,3.99723036349481e-06,7.0702808726095e-06,2.68515176285967e-06,"v_5450",37,2.61766399664939e-05,3349.26157333385
"33847",3.13331073370798e-05,3.66663089664525e-05,0.000131539203554482,3.77940554675007e-05,2.15574197844418e-05,2.86586085402653e-05,4.82309671014035e-05,3.12740966073658e-05,4.0860577049058e-05,2.87372706435096e-05,2.99202625004363e-05,"v_5544",51,2.55375657592318e-05,363.992695007481
