"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"289435",6.38606014300213e-06,8.48290025895169e-06,1.18833003979508e-05,7.5908107669072e-06,1.01538878108218e-05,2.88688859585736e-05,1.22950999635538e-05,2.78558915884642e-05,9.47370143543802e-06,9.75213765175924e-06,2.38566122179254e-06,"v_4644",66,2.71326242674191e-05,1975.18752150799
"1851148",2.64565348781517e-05,4.19680328600768e-05,3.634891886432e-05,1.49285945082508e-05,2.96155061148969e-05,4.53019441196078e-05,3.24941927608208e-05,3.41459316245691e-05,3.01435954763937e-05,2.75750099118709e-05,2.38566122179254e-05,"v_4873",126,2.65181649429859e-05,3962.23640225554
"180",1.43686353217548e-05,2.05375479953567e-05,1.60774064207569e-05,1.44225404571237e-05,2.25641951351595e-05,2.35392454739139e-05,1.44906535284741e-05,2.51601601444193e-05,8.6124558503982e-06,2.35396426076947e-05,1.51091877380194e-05,"v_5085",58,2.71370420624152e-05,3366.3933190102
"665571",3.48952572099759e-05,3.79498169479418e-05,2.86597244891754e-05,1.53081350465962e-05,3.27180829459813e-05,3.64192099785082e-05,3.55679677517092e-05,4.76245888447937e-05,3.01435954763937e-05,3.39643414768166e-05,1.74948489598119e-05,"v_5109",75,2.62480970129666e-05,3087.65125462566
"693075",1.93862540055422e-05,2.94669166889901e-05,2.79607068187077e-05,6.7052161774347e-06,1.77693036689381e-05,2.26509720598039e-05,1.88817606583148e-05,2.56094487184268e-05,1.20574381905575e-05,2.2867081390332e-05,7.15698366537761e-06,"v_5256",102,2.67780634104542e-05,2760.12018406899
"430914",5.54218790981971e-05,4.64327172068935e-05,4.47371309099323e-05,2.01156485323041e-05,4.99232817365405e-05,3.64192099785082e-05,4.7863067715263e-05,4.62767231227712e-05,2.32536307960751e-05,4.06899536504437e-05,3.02183754760388e-05,"v_5291",59,2.57076017378339e-05,1149.38740864892
"2226",5.92991298993055e-06,4.01821591213501e-06,5.24263252850769e-06,1.8977026917268e-06,5.64104878378988e-06,2.22068353527489e-06,2.19555356492032e-06,6.29004003610483e-06,2.15311396259955e-06,6.38933156494571e-06,0,"v_5353",48,2.58024563938487e-05,4034.97535086481
"2224",9.80716379103899e-06,1.071524243236e-05,1.50288799150554e-05,4.17494592179896e-06,7.33336341892685e-06,9.32687084815455e-06,9.66043568564942e-06,1.48265229422471e-05,5.59809630275883e-06,8.74329582571518e-06,4.77132244358508e-06,"v_5361",84,2.71245287113136e-05,4149.24470781847
"1470067",8.43872233182425e-06,4.91115278149835e-06,6.29115903420923e-06,6.32567563908934e-07,2.42565097702965e-05,7.55032401993463e-06,8.34310354669723e-06,1.03336372021722e-05,1.72249117007964e-06,8.40701521703382e-06,7.95220407264179e-07,"v_5446",55,2.63581011623923e-05,974.152622723556
"1874277",1.66493710871127e-05,2.81275113849451e-05,1.67764240912246e-05,6.95824320299827e-06,2.05898280608331e-05,2.0430288524529e-05,1.3612432102506e-05,1.61743886642696e-05,1.11961926055177e-05,2.52210456511015e-05,3.9761020363209e-06,"v_5466",67,2.69527249204895e-05,3877.1160400916
"184117",2.30354312301148e-05,2.58951692115367e-05,2.13200389492646e-05,9.61502697141579e-06,1.97436707432646e-05,2.39833821809688e-05,1.84426499453307e-05,2.20151401263669e-05,1.07655698129977e-05,2.21945201729693e-05,7.15698366537761e-06,"v_5473",75,2.67101151205962e-05,4281.60828574476
"1982898",8.43872233182425e-06,8.03643182427002e-06,7.33968553991076e-06,2.53027025563573e-06,5.64104878378988e-06,7.10618731287965e-06,3.95199641685658e-06,6.29004003610483e-06,3.44498234015928e-06,6.05305095626435e-06,7.95220407264179e-07,"v_5659",48,2.64970853206147e-05,2814.45524944775
