"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"67260",2.42565097702965e-05,1.10130217969727e-05,3.69479193987981e-05,2.56352850900055e-05,2.83858900645165e-05,2.19617624185154e-05,1.79649188150137e-05,1.59044081452836e-05,"v_3134",96,3.05913304169598e-05,4893.17088716259
"556325",4.00514463649082e-05,5.50651089848637e-05,5.31411433328392e-05,4.48617489075096e-05,2.37827727567571e-05,3.10048410614335e-05,2.30254593262852e-05,1.90852897743403e-05,"v_3276",204,2.95115832964439e-05,5035.06678179917
"1520670",5.50002256419514e-05,8.36989656569928e-05,6.40886750065571e-05,5.5970372446512e-05,3.87429040069753e-05,3.10048410614335e-05,2.72004052480841e-05,3.1013595883303e-05,"v_3431",175,2.862458852154e-05,4355.49844776562
"33035",1.35385170810957e-05,1.32156261563673e-05,1.45967088982906e-05,1.11086235390024e-05,8.05545528857901e-06,1.07655698129977e-05,1.05006215608883e-05,1.03378652944343e-05,"v_4422",93,3.08442059159187e-05,4701.87592253935
"2214",9.30773049325331e-06,4.4052087187891e-06,9.12294306143162e-06,8.11784027850174e-06,2.68515176285967e-06,3.44498234015928e-06,2.90981079398109e-06,0,"v_5345",133,3.03287637995875e-05,4285.33550511766
"1903276",1.72051987905591e-05,1.32156261563673e-05,2.66846084546875e-05,1.02541140360022e-05,8.43904839755897e-06,6.02871909527874e-06,6.32567563908934e-07,0,"v_5464",115,2.99922020274729e-05,1332.61117558036
"1410606",1.12820975675798e-05,6.60781307818364e-06,1.48247824748264e-05,8.11784027850174e-06,1.91796554489977e-06,1.29186837755973e-06,1.01210810225429e-06,7.95220407264179e-07,"v_5465",100,2.98900047824008e-05,942.120192532493
"2271",5.64104878378988e-06,1.54182305157618e-05,6.38606014300213e-06,5.55431176950119e-06,5.37030352571934e-06,4.73685071771901e-06,1.77118917894501e-06,7.95220407264179e-07,"v_5474",107,3.00987238141103e-05,3867.68330875714
"162474",4.54104427095086e-05,5.72677133442582e-05,3.42110364803686e-05,3.80256728835081e-05,2.49335520836969e-05,3.61723145716724e-05,3.03632430676288e-05,1.59044081452836e-05,"v_5536",136,2.96912114014252e-05,2456.47875601273
"2315863",1.18462024459588e-05,8.81041743757819e-06,1.59651503575053e-05,1.62356805570035e-05,3.45233798081958e-06,1.03349470204778e-05,8.22337833081614e-06,3.18088162905672e-06,"v_5658",158,3.11303427450736e-05,4553.5993921522
