"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"471",9.88434862816473e-06,5.24569226032318e-06,3.44498234015928e-06,3.98603647134793e-06,8.48290025895169e-06,1.59044081452836e-06,5.35899634460039e-06,4.21450125592137e-06,2.39526886493797e-06,4.72425693343758e-06,1.98234392345509e-05,"v_1563",64,2.79602963791416e-05,2558.78373574511
"2562282",4.80738774188012e-05,3.94567287406917e-05,4.73685071771901e-05,5.13755811862622e-05,6.16126439860702e-05,3.89657999559448e-05,6.51541134527731e-05,4.08806621824373e-05,4.95022232087181e-05,5.50038485821661e-05,4.18494828284964e-05,"v_2227",125,2.70262965865787e-05,3503.09451690989
"418701",4.04359716606739e-05,3.32987421742254e-05,2.28230080035552e-05,3.18882917707834e-05,3.03598535583534e-05,2.54470530324537e-05,3.69488695338237e-05,3.45589102985553e-05,4.47116854788422e-05,3.340724545788e-05,3.30390653909182e-05,"v_2304",80,2.78862242052426e-05,3307.12469167897
"2769486",6.06539574910109e-05,4.92638925317307e-05,5.33972262724688e-05,5.31471529513057e-05,5.75944280739352e-05,3.65801387341523e-05,6.23335890608782e-05,4.55166135639508e-05,3.91227247939869e-05,6.44523624490413e-05,6.38755264224419e-05,"v_2312",66,2.64375413086583e-05,3798.9118144142
"2714934",4.71753002707862e-05,6.47728957361645e-05,4.82297527622299e-05,6.11192258940016e-05,4.91115278149835e-05,4.37371223995299e-05,5.81028024730358e-05,6.65891198435577e-05,3.51306100190903e-05,5.6691083201251e-05,3.30390653909182e-05,"v_3195",56,2.60457363129656e-05,1716.81798755415
"1862358",1.52758115162546e-05,1.87020332759348e-05,1.4210552153157e-05,1.94872894154788e-05,1.96446111259934e-05,4.77132244358508e-06,1.80513561081276e-05,1.8543805526054e-05,1.35731902346485e-05,2.49710723624558e-05,1.54182305157618e-05,"v_3526",55,2.8239015023156e-05,2088.33594842078
"2692119",0.000110974277779849,0.000103317330170713,7.10527607657851e-05,0.000101422483548742,9.6883650325922e-05,7.47507182828329e-05,0.000104359402500113,9.8197879262968e-05,6.54706823083046e-05,0.000100896630221274,7.04833395006255e-05,"v_3740",133,2.51477429900666e-05,3949.37135029206
"2610894",4.44795688267413e-05,4.65270096133013e-05,3.53110689866326e-05,4.8275330597436e-05,4.73256540762568e-05,1.59044081452836e-05,3.92052890473397e-05,4.84667644430958e-05,3.59290329740696e-05,5.77034239727019e-05,4.62546915472855e-05,"v_4325",67,2.67916945746818e-05,3066.83739836498
"1323375",2.69573144404493e-05,1.30001938625401e-05,1.20574381905575e-05,3.14453988295225e-05,1.74122689525851e-05,1.03378652944343e-05,1.60769890338012e-05,2.10725062796069e-05,1.19763443246899e-05,1.82221338861164e-05,1.76208348751564e-05,"v_4517",60,2.83671848405764e-05,2323.53929393036
"1702221",3.10009116065167e-05,1.9614327582078e-05,1.98086484559159e-05,2.83451482406964e-05,2.85739798196268e-05,8.74742447990597e-06,2.3410352452728e-05,2.95015087914496e-05,1.67668820545658e-05,2.15966031242861e-05,1.98234392345509e-05,"v_4564",68,2.844221963082e-05,3588.60315474495
"1986204",5.34653403068911e-05,3.67198458222623e-05,3.22967094389932e-05,3.98603647134793e-05,5.40226805964818e-05,1.51091877380194e-05,4.40001805135611e-05,6.15317183364521e-05,5.74864527585114e-05,5.36540608868983e-05,2.422864795334e-05,"v_4701",70,2.71414612962762e-05,1842.26963486765
"265606",0.000103336372021722,8.1650340399813e-05,5.38278490649887e-05,7.30773353080453e-05,0.000108045361192964,6.67985142101911e-05,0.000124667178121756,7.88111734857297e-05,5.908329866847e-05,0.000150501328022369,9.2509383094571e-05,"v_4842",137,2.51851105626354e-05,3564.80563416939
"693075",2.56094487184268e-05,1.93862540055422e-05,1.20574381905575e-05,2.2144647063044e-05,2.94669166889901e-05,7.15698366537761e-06,1.77693036689381e-05,1.60151047725012e-05,2.87432263792557e-05,1.92344746575673e-05,1.10130217969727e-05,"v_5256",55,2.86944045911047e-05,2234.65903799822
"2209",2.33630058483894e-05,9.35101663796741e-06,7.32058747283847e-06,5.75760823639145e-06,4.15215644253951e-05,0,9.87183537163229e-06,1.09577032653956e-05,2.31542656944004e-05,2.12591562004691e-05,2.20260435939455e-06,"v_5344",54,2.76678748305343e-05,3510.82021956204
"1229908",8.08719433213478e-06,7.0702808726095e-06,8.6124558503982e-07,7.97207294269585e-06,2.67881060809001e-06,7.95220407264179e-07,1.83334085473171e-05,2.10725062796069e-06,0,4.38681000962061e-06,8.81041743757819e-06,"v_5450",52,2.74967003959525e-05,1758.04961675815
"2259672",1.66236772382771e-05,9.12294306143162e-06,1.29186837755973e-06,7.52918000143497e-06,1.11617108670417e-05,7.95220407264179e-07,2.84872963581389e-05,1.01148030142113e-05,1.59684590995865e-06,7.42383232397334e-06,2.20260435939455e-06,"v_5463",72,2.81991991427443e-05,2382.67381365581
