"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"384676",0.000129579618745717,9.03067787351765e-05,7.23179594484211e-05,5.47803510345136e-05,5.85128259105554e-05,8.29581318067446e-05,7.23354604152055e-05,8.2609427512226e-05,6.02241181098526e-05,6.3554935541851e-05,5.12441123098693e-05,"v_1476",144,2.49152880207295e-05,3931.51135086434
"237609",0.000142740048774578,7.04833395006255e-05,8.15568177039462e-05,6.19916212630755e-05,5.61588616497859e-05,7.19169416022498e-05,8.53648290614227e-05,9.41569818956554e-05,7.05811320523114e-05,7.69992488295503e-05,8.18183305787829e-05,"v_1482",83,2.42571255306246e-05,1765.42745100807
"797277",9.0773222506765e-05,5.50651089848637e-05,5.89375440438674e-05,5.13644861894054e-05,4.74155658240708e-05,7.46026365168566e-05,6.82918632491381e-05,7.32825566640714e-05,7.13483182702713e-05,5.35328110910207e-05,5.68422086126281e-05,"v_1494",110,2.50218941573877e-05,2216.3800384776
"1434072",8.13247086398898e-05,5.50651089848637e-05,5.03358484266543e-05,4.22555132691168e-05,4.16987954764878e-05,5.99805197595527e-05,5.03203202888386e-05,4.88550377760476e-05,4.14280557698349e-05,5.18217166725862e-05,3.3588577816553e-05,"v_1507",58,2.56278831368529e-05,786.815244128623
"163011",4.99421447249116e-05,3.96468784691019e-05,2.58050868516392e-05,2.64413241713934e-05,2.15219589556066e-05,3.49140338898889e-05,3.36966430505616e-05,3.59750732714532e-05,3.49069729171757e-05,3.25107939502546e-05,2.45454991736349e-05,"v_1516",58,2.63372751455134e-05,2741.48741071607
"1812935",3.00327762197103e-05,1.98234392345509e-05,3.72740143412567e-05,1.93565674556134e-05,2.38759232163761e-05,3.78981393505632e-05,2.96530458844942e-05,2.57599290091887e-05,1.99468416669576e-05,3.07996995318201e-05,2.4114876381115e-05,"v_1746",47,2.68398733157979e-05,2800.26636976276
"1134687",5.7028530125068e-05,2.64312523127346e-05,0,0,4.33801985198945e-05,4.62536346404511e-05,5.88568031949809e-05,4.61902175337177e-05,4.25788350967748e-05,4.52217810586248e-05,3.18660866464733e-05,"v_1789",221,2.59268861809697e-05,1216.23273587522
"55211",3.07076700673443e-05,1.76208348751564e-05,2.35750176175469e-05,2.37845404029759e-05,2.55573262597828e-05,2.83490018764055e-05,3.36966430505616e-05,2.44275188880238e-05,2.76187038465566e-05,2.78663948145039e-05,2.54067447586747e-05,"v_2027",71,2.69672617442425e-05,4146.96182653287
"1223571",7.08638540015637e-06,1.32156261563673e-05,3.1858131915604e-06,2.65678376841752e-06,3.69908669549488e-06,3.58092655280912e-06,9.43506005415724e-06,1.77654682821991e-05,3.45233798081958e-06,6.59993561396145e-06,5.16747351023892e-06,"v_2094",39,2.63664407941572e-05,2695.79390592289
"930806",7.66004517064522e-05,4.62546915472855e-05,4.55571286393137e-05,4.9846324036024e-05,4.13625148678064e-05,6.32630357662944e-05,6.46975546570782e-05,5.95143187453671e-05,5.7155373238013e-05,5.25550428519153e-05,5.03828667248295e-05,"v_2568",130,2.57320776079461e-05,3727.8310053242
